1	с точки зрения	3	5
2	не может быть	7	4
3	до тех пор	1	4
4	одно и то	2	3
5	по отношению к	3	3
6	тех пор пока	1	3
7	и не является	1	2
8	ничего общего с	1	2
9	в том что	5	2
10	и наконец в	1	2
11	с одной стороны	6	2
12	в полном соответствии	1	2
13	в данном случае	3	2
14	полном соответствии с	1	2
15	с другой стороны	4	2
16	и то же	2	2
17	но и его	1	1
18	и не может	1	1
19	к тому что	1	1
20	все то что	1	1
21	не мог бы	1	1
22	впервые в истории	1	1
23	в области поэтики	1	1
24	в отличие от	1	1
25	тем не менее	2	1
26	том что в	1	1
27	нет и не	1	1
28	можно было бы	1	1
29	может быть это	1	1
30	для того чтобы	1	1
31	в этом отношении	3	1
32	во всей своей	1	1
33	состоит в том	4	1
34	то же самое	1	1
35	прежде всего в	1	1
36	всей своей полноте	1	1
37	в то же	9	1
38	это и не	1	1
39	что едва ли	1	1
40	на самом деле	1	1
41	то же время	9	1
42	что в ней	1	1
43	с этой точки	1	1
44	ни одно слово	1	1
45	в конечном счете	5	1
46	того же автора	1	1
47	подобно тому как	2	1
48	мы не можем	1	1
49	и т.д и	1	1
50	в хх веке	4	1
51	тех или иных	1	1
52	одно слово не	1	1
53	не знает категории	1	1
54	этой точки зрения	1	1
55	только то что	1	1
