N	3gram	Berdyaev_N_1	Hudozhes
1	о том что	1	9
2	в том что	1	6
3	можно было бы	1	4
4	та или иная	1	3
5	как и в	1	3
6	такой же мере	1	2
7	только потому что	1	2
8	по своей природе	1	2
9	до сих пор	1	2
10	к жизни и	1	2
11	не только в	1	2
12	в значительной степени	1	2
13	в такой же	1	2
14	не в том	1	2
15	не может быть	4	2
16	что она не	1	1
17	в этом смысле	2	1
18	же как и	1	1
19	потому что не	1	1
20	не имеют никакого	1	1
21	может быть только	1	1
22	для себя и	1	1
23	том случае если	1	1
24	сами по себе	1	1
25	в отличие от	1	1
26	заключает в себе	1	1
27	и весь мир	1	1
28	в том случае	1	1
29	в высшей степени	6	1
30	и потому что	1	1
31	к одному из	1	1
32	в нем не	1	1
33	в том и	2	1
34	во всяком случае	1	1
35	не только потому	1	1
36	ни в чем	1	1
37	как будто бы	1	1
38	в этом он	1	1
39	и быть не	1	1
40	в том смысле	1	1
41	с одной стороны	2	1
42	она не может	2	1
