N	2gram	Vygotskiy__2	TeoriaLi
1	не только	12	18
2	в качестве	1	17
3	и не	10	16
4	а в	4	14
5	состоит в	3	13
6	и в	32	13
7	в частности	3	13
8	то есть	21	12
9	так и	3	12
10	может быть	18	12
11	в этом	13	11
12	при этом	13	11
13	в том	37	11
14	но не	2	10
15	и его	7	10
16	а не	7	10
17	то же	13	9
18	в его	2	9
19	такого рода	1	8
20	сводится к	2	8
21	произведение искусства	1	8
22	но и	10	8
23	что в	20	8
24	отличие от	2	7
25	в себе	2	7
26	том что	21	7
27	точки зрения	17	7
28	в отличие	1	7
29	в то	5	7
30	только в	7	7
31	как это	4	7
32	в данном	4	7
33	еще не	2	6
34	с его	2	6
35	но в	3	6
36	в первой	1	6
37	место в	2	6
38	в русской	1	6
39	же время	2	6
40	как бы	6	6
41	мы имеем	4	5
42	данном случае	4	5
43	в самом	12	5
44	роли в	1	5
45	он не	6	5
46	в принципе	1	5
47	того или	3	5
48	как и	10	5
49	не в	8	5
50	однако в	1	5
51	тем самым	1	5
52	в нем	4	5
53	в ее	2	5
54	между тем	4	5
55	уже не	1	5
56	с другой	3	5
57	как в	9	5
58	или иного	2	5
59	в искусстве	21	5
60	между ними	1	5
61	по преимуществу	1	4
62	конечном счете	3	4
63	а и	1	4
64	отношение к	2	4
65	по пути	1	4
66	то что	21	4
67	художественного впечатления	2	4
68	ни в	2	4
69	литературного произведения	1	4
70	в своей	3	4
71	в их	3	4
72	или менее	1	4
73	не столько	1	4
74	не менее	8	4
75	приводит к	1	4
76	можно сказать	1	4
77	в конечном	3	4
78	художественного восприятия	1	4
79	и ее	3	4
80	но он	3	4
81	мира и	1	4
82	в свою	3	4
83	сказать что	7	4
84	не может	17	4
85	более или	1	4
86	и то	3	3
87	на две	1	3
88	например в	3	3
89	художественного произведения	5	3
90	а только	3	3
91	и т.д	1	3
92	в художественном	6	3
93	и к	3	3
94	в противоположность	1	3
95	все эти	7	3
96	в нашем	1	3
97	в этой	6	3
98	он должен	1	3
99	и вот	3	3
100	и по	4	3
101	его в	1	3
102	этом смысле	1	3
103	и сам	4	3
104	в этих	2	3
105	тем не	4	3
106	в отношении	3	3
107	никогда не	9	3
108	как раз	5	3
109	потому что	21	3
110	эстетического объекта	2	3
111	свою очередь	2	3
112	другой стороны	2	3
113	в произведении	4	3
114	так в	2	3
115	в другом	1	3
116	о ней	4	3
117	и что	22	3
118	того что	8	3
119	а с	2	3
120	без остатка	1	3
121	для него	1	3
122	слова в	2	3
123	с ее	3	3
124	на почве	1	3
125	именно в	1	3
126	прежде всего	1	3
127	в соответствии	1	3
128	по своему	3	3
129	этого слова	1	3
130	к которому	2	3
131	таким образом	21	3
132	или в	1	3
133	в основе	11	3
134	ни к	1	3
135	отношении к	3	3
136	речи и	1	3
137	была бы	2	2
138	отношения к	1	2
139	того же	2	2
140	и это	4	2
141	это и	1	2
142	на деле	8	2
143	или говоря	1	2
144	и больше	1	2
145	принадлежит к	1	2
146	в целом	4	2
147	в чем	4	2
148	чем это	1	2
149	могло быть	1	2
150	но как	3	2
151	в стихе	7	2
152	за пределы	1	2
153	что они	7	2
154	как говорит	3	2
155	данный момент	1	2
156	как к	3	2
157	в противном	1	2
158	и как	7	2
159	говорит что	7	2
160	в которой	2	2
161	образом и	4	2
162	противном случае	1	2
163	однако при	1	2
164	к одному	4	2
165	одно и	1	2
166	не следует	1	2
167	здесь мы	2	2
168	тем в	1	2
169	об этом	3	2
170	русской поэзии	1	2
171	это не	2	2
172	и тем	4	2
173	к области	3	2
174	вовсе не	2	2
175	и того	1	2
176	иначе говоря	4	2
177	одного и	2	2
178	с точки	10	2
179	к такой	1	2
180	их в	2	2
181	произведений искусства	1	2
182	зрения и	1	2
183	по себе	12	2
184	дело не	1	2
185	только не	1	2
186	казалось бы	2	2
187	имеем дело	1	2
188	этих двух	2	2
189	как будто	7	2
190	и для	4	2
191	для такого	2	2
192	и о	1	2
193	в себя	1	2
194	роль в	2	2
195	не с	1	2
196	мы в	3	2
197	если бы	6	2
198	в виду	3	2
199	и здесь	2	2
200	о том	6	2
201	что каждый	1	2
202	в глаза	2	2
203	к действительности	2	2
204	это было	3	2
205	восходит к	1	2
206	к нему	2	2
207	во всех	3	2
208	русской литературе	1	2
209	вслед за	5	2
210	к числу	1	2
211	с одной	1	2
212	этом что	1	2
213	в большинстве	1	2
214	не сумеет	1	2
