N	2gram	Bakhtin_KF_1	Problemy
1	и в	24	34
2	и не	26	29
3	как бы	9	27
4	что он	2	23
5	в его	40	22
6	в нем	28	19
7	может быть	45	19
8	не может	27	19
9	и все	7	19
10	как и	5	18
11	себе самому	1	18
12	к себе	2	17
13	в этом	14	16
14	но в	5	16
15	и его	17	16
16	все это	10	16
17	он не	6	15
18	и с	1	15
19	что я	5	15
20	прежде всего	2	15
21	то же	5	14
22	к нему	12	14
23	самом деле	3	13
24	для него	8	13
25	и к	1	12
26	в то	3	12
27	же время	2	12
28	потому что	2	12
29	но и	9	12
30	на самом	3	11
31	вовсе не	7	11
32	с другим	1	11
33	то что	7	11
34	не только	5	10
35	слова и	1	10
36	а я	1	10
37	не в	12	9
38	в отношении	1	9
39	а не	17	9
40	никогда не	5	8
41	с ним	5	8
42	в другом	3	8
43	в самом	1	8
44	себя и	2	8
45	и для	9	8
46	точки зрения	12	8
47	я не	6	7
48	знает и	2	7
49	слова в	2	7
50	и даже	1	7
51	что не	3	7
52	с которым	1	7
53	там где	5	7
54	этого слова	2	7
55	все же	5	7
56	отношении к	2	7
57	что в	4	7
58	мы уже	1	6
59	и на	3	6
60	с его	1	6
61	с собою	1	6
62	отношение к	5	6
63	от себя	10	6
64	у меня	1	6
65	для себя	5	6
66	так и	2	6
67	в себе	21	6
68	только в	16	6
69	от него	3	6
70	с ними	3	6
71	не знает	5	6
72	отношению к	22	6
73	в чем	4	5
74	по отношению	26	5
75	и наконец	1	5
76	что это	3	5
77	в целом	10	5
78	но все	5	5
79	лишь в	8	5
80	с тем	2	5
81	он и	2	5
82	не мог	1	5
83	это слово	1	5
84	к тому	1	5
85	я теперь	1	5
86	что и	7	5
87	это не	10	5
88	того что	3	5
89	и так	1	5
90	всяком случае	1	5
91	в одном	4	5
92	себе и	3	5
93	когда я	3	5
94	и от	1	5
95	мы должны	1	5
96	хотя бы	4	5
97	а в	4	5
98	во всяком	1	5
99	пробиться к	1	4
100	из его	3	4
101	он как	1	4
102	еще не	4	4
103	бы то	2	4
104	но не	12	4
105	но как	5	4
106	как в	2	4
107	бы и	3	4
108	другого как	1	4
109	все эти	10	4
110	на его	1	4
111	при этом	4	4
112	на этом	1	4
113	ни был	2	4
114	то ни	2	4
115	что все	1	4
116	в мире	6	4
117	его в	5	4
118	этом смысле	3	4
119	ни в	12	4
120	рядом с	3	4
121	все равно	1	4
122	с точки	9	4
123	все и	1	4
124	но это	6	4
125	меня не	3	4
126	ничего не	3	4
127	как раз	1	4
128	его с	2	4
129	и это	12	4
130	если бы	8	4
131	и кажется	1	4
132	только на	1	4
133	в виде	2	4
134	так как	1	4
135	не о	2	4
136	тем что	3	4
137	человека как	1	4
138	вместе с	1	4
139	как к	2	4
140	бы он	2	4
141	я в	1	4
142	ни было	4	4
143	бы его	1	4
144	функции в	1	3
145	и то	2	3
146	за собой	1	3
147	ведь и	1	3
148	так чтобы	1	3
149	говорить о	2	3
150	как я	1	3
151	в виду	3	3
152	в ней	3	3
153	совсем не	2	3
154	нет и	3	3
155	хотя и	1	3
156	и как	2	3
157	поэтому он	1	3
158	ее как	2	3
159	он ни	2	3
160	не как	4	3
161	их в	1	3
162	в каждом	3	3
163	это было	2	3
164	его и	2	3
165	этого не	1	3
166	должно быть	6	3
167	такой же	1	3
168	раз и	2	3
169	в своей	10	3
170	другим и	1	3
171	в котором	24	3
172	не менее	3	3
173	но он	1	3
174	по себе	2	3
175	том что	4	3
176	во всем	7	3
177	есть только	1	3
178	где он	3	3
179	с ее	2	3
180	не могу	3	3
181	в ее	16	3
182	характер и	1	3
183	для этого	2	3
184	сводится к	2	3
185	и во	1	3
186	между тем	4	3
187	в него	2	3
188	в том	6	3
189	большинстве случаев	1	3
190	нуждается в	1	3
191	а с	2	3
192	и своего	1	3
193	до конца	3	3
194	эти слова	1	3
195	по своему	3	3
196	в реальном	1	3
197	но для	2	3
198	же я	1	3
199	если не	2	3
200	сознания и	3	3
201	только что	1	3
202	его к	2	3
203	только с	3	3
204	им и	1	3
205	жизни и	8	3
206	я и	2	2
207	себя как	2	2
208	он может	2	2
209	это и	2	2
210	и этот	3	2
211	той же	1	2
212	а как	2	2
213	себе как	2	2
214	и тут	1	2
215	и свой	2	2
216	та же	2	2
217	время от	1	2
218	совпадает с	1	2
219	своему смыслу	1	2
220	того же	1	2
221	и он	1	2
222	слово не	3	2
223	меня в	3	2
224	столь же	1	2
225	нему он	1	2
226	во всех	11	2
227	бы не	3	2
228	определяется не	1	2
229	с этим	1	2
230	показать что	1	2
231	в своем	16	2
232	виду и	1	2
233	когда он	1	2
234	в этот	1	2
235	уже с	1	2
236	за границей	1	2
237	к чему	3	2
238	в которой	1	2
239	в большинстве	1	2
240	вследствие этого	2	2
241	а просто	1	2
242	всех этих	3	2
243	он должен	1	2
244	же не	1	2
245	входит в	3	2
246	было бы	8	2
247	то все	1	2
248	он есть	1	2
249	только себя	1	2
250	как другого	1	2
251	в жизни	2	2
252	мог бы	1	2
253	кажется что	2	2
254	если я	2	2
255	всю жизнь	1	2
256	и того	2	2
257	был бы	3	2
258	но я	2	2
259	что значит	2	2
