N	3gram	Savitsky_P_1	SlovoVZh
1	не может быть	1	7
2	в том что	4	4
3	и не может	1	3
4	с другой стороны	1	2
5	одной стороны и	2	2
6	с точки зрения	3	2
7	в отношении к	5	2
8	в этих двух	1	2
9	в настоящее время	1	2
10	с одной стороны	3	2
11	том что в	1	1
12	и в этом	1	1
13	или хотя бы	1	1
14	нельзя отождествлять с	1	1
15	бы оно ни	1	1
16	более или менее	1	1
17	во всяком случае	1	1
18	в этом смысле	1	1
19	и в формах	1	1
20	в частности в	1	1
21	в своем значении	2	1
22	сами по себе	3	1
23	но и в	2	1
24	поскольку они являются	1	1
25	в творчестве достоевского	1	1
26	совершенно ясно что	1	1
27	то же время	7	1
28	в то же	7	1
29	и в частности	1	1
30	так же как	1	1
31	но в то	1	1
32	литературы и не	1	1
