N	3gram	Propp_Morf_1	UchenyiS
1	не может быть	9	4
2	бы то ни	3	3
3	с другой стороны	4	3
4	то ни было	2	3
5	и в этой	1	2
6	в этом отношении	1	2
7	не могут быть	2	2
8	тех или иных	1	2
9	до сих пор	1	2
10	в противном случае	1	2
11	в том что	3	2
12	с одной стороны	1	1
13	на то что	2	1
14	этом случае он	1	1
15	более или менее	2	1
16	друг с другом	1	1
17	она все же	1	1
18	и независимо от	1	1
19	мы имеем в	1	1
20	между тем в	1	1
21	от вопроса о	1	1
22	в точном смысле	1	1
23	можно сказать что	1	1
24	но это не	1	1
25	не входит в	1	1
26	является одним из	1	1
27	как раз обратное	1	1
28	в этом случае	8	1
29	это было бы	1	1
30	в данном случае	1	1
31	на первый взгляд	3	1
32	он может быть	2	1
