N	2gram	Tiupa_Lite_1	VrazhdaK
1	в году	13	18
2	не только	24	9
3	и достоевского	1	9
4	достоевского с	1	9
5	в этом	12	8
6	лишнего человека	1	8
7	и в	8	8
8	и что	1	8
9	достоевского в	1	7
10	но и	17	7
11	и все	1	7
12	то что	10	7
13	что в	3	7
14	все же	4	6
15	но в	3	6
16	в нем	2	6
17	как и	6	6
18	в котором	1	6
19	и с	1	6
20	о нем	1	6
21	в начале	1	6
22	и даже	3	6
23	в романе	1	6
24	то же	5	5
25	в то	5	5
26	же время	5	5
27	между тем	2	5
28	у него	3	5
29	не было	3	5
30	в россии	2	5
31	и не	12	5
32	х годов	2	4
33	что он	5	4
34	целый ряд	1	4
35	при этом	19	4
36	это не	4	4
37	несмотря на	3	4
38	в виду	3	4
39	о том	2	4
40	для нас	1	4
41	у достоевского	2	4
42	уже в	5	4
43	может быть	13	4
44	как бы	7	4
45	в своих	4	4
46	одним из	5	3
47	я не	7	3
48	он был	1	3
49	в чем	1	3
50	с его	5	3
51	в своем	11	3
52	и как	1	3
53	на то	1	3
54	его в	3	3
55	он не	1	3
56	далеко не	3	3
57	и уже	1	3
58	том что	14	3
59	что есть	1	3
60	в русской	10	3
61	и его	4	3
62	связи с	6	3
63	человека в	1	3
64	и о	1	3
65	и во	1	3
66	русской литературе	5	3
67	в его	7	3
68	в том	16	3
69	и у	1	3
70	в конце	4	3
71	тем что	2	3
72	в связи	4	3
73	о себе	4	3
74	эти слова	1	3
75	о князе	1	3
76	имел в	1	3
77	к этому	1	3
78	же как	1	2
79	и то	2	2
80	и он	1	2
81	он сам	1	2
82	столь же	4	2
83	но как	1	2
84	ответ на	1	2
85	тогда как	13	2
86	отнюдь не	2	2
87	в той	1	2
88	его на	1	2
89	в этой	4	2
90	что к	1	2
91	в себе	7	2
92	в нашей	2	2
93	нашего времени	2	2
94	таким образом	3	2
95	в одну	1	2
96	в мире	2	2
97	об этой	1	2
98	в глазах	1	2
99	в них	1	2
100	а с	1	2
101	мы знаем	1	2
102	не мог	3	2
103	на первый	1	2
104	в эту	1	2
105	во время	1	2
106	точки зрения	6	2
107	в своей	4	2
108	с точки	2	2
109	не менее	7	2
110	права на	1	2
111	том же	3	2
112	одна из	3	2
113	никогда не	4	2
114	в момент	1	2
115	к себе	3	2
116	на это	2	2
117	году в	1	2
118	на основе	1	2
119	россии в	1	2
120	так в	1	2
121	еще не	4	2
122	году и	1	2
123	а также	5	2
124	тем более	2	2
