N	3gram	Medvedev_V_1	Analitik
1	о том что	3	6
2	в том что	5	6
3	в данном случае	1	5
4	по отношению к	7	4
5	с одной стороны	2	4
6	к тому же	1	4
7	мы имеем дело	1	3
8	подобно тому как	2	3
9	не удивительно что	3	3
10	в этом отношении	13	3
11	по крайней мере	2	3
12	того или иного	1	3
13	той или иной	1	3
14	в этом смысле	1	2
15	в соответствии с	1	2
16	в результате чего	2	2
17	в таком случае	1	2
18	в то же	5	2
19	можно было бы	2	2
20	том или ином	1	2
21	о свободе воли	1	2
22	а не только	1	2
23	не только в	2	2
24	в том или	1	2
25	с другой стороны	8	2
26	в частности в	2	2
27	то же время	5	2
28	в конечном счете	5	2
29	не только не	2	2
30	в этой системе	1	2
31	если бы он	1	1
32	а между тем	1	1
33	можно сказать что	4	1
34	бы он был	1	1
35	приводит к тому	1	1
36	следует понимать как	2	1
37	более или менее	6	1
38	его собственному признанию	1	1
39	что один из	1	1
40	виду что в	1	1
41	как это было	1	1
42	и во всех	1	1
43	хотя бы и	5	1
44	сами по себе	1	1
45	но и в	1	1
46	во всех этих	1	1
47	на этот вопрос	1	1
48	одна из них	1	1
49	в противном случае	2	1
50	со всех сторон	1	1
51	с этой точки	1	1
52	бы и в	1	1
53	а как бы	1	1
54	в применении к	1	1
55	о том же	3	1
56	основательно прежде всего	1	1
57	него могут быть	1	1
58	том же свидетельствует	1	1
59	и то же	1	1
60	очень близко к	1	1
61	как один из	1	1
62	же свидетельствует и	1	1
63	повествования во всех	1	1
64	имеем дело с	1	1
65	так или иначе	1	1
66	в свою очередь	1	1
67	в связи с	3	1
68	одно и то	1	1
69	не случайно и	1	1
70	из них не	2	1
71	носит в себе	2	1
72	а всего лишь	3	1
73	этой точки зрения	2	1
74	а в том	1	1
75	только то что	2	1
76	не может быть	8	1
77	ответ на этот	1	1
78	том смысле что	1	1
79	именно к этому	1	1
80	но и для	1	1
81	ни одна из	1	1
82	в самом деле	1	1
83	в каждом отдельном	2	1
84	в том смысле	1	1
85	к тому что	3	1
86	сама по себе	1	1
87	по его собственному	1	1
88	дело не в	1	1
89	почти то же	1	1
90	то же самое	1	1
91	не только для	1	1
