N	3gram	Berdyaev_M_1	Analitik
1	в том что	1	7
2	по отношению к	2	7
3	так и не	1	5
4	о том что	1	5
5	в русской поэзии	1	2
6	в отличие от	1	2
7	в значительной степени	1	2
8	во всяком случае	1	2
9	что иное как	1	1
10	слова это и	1	1
11	верно по отношению	1	1
12	как бы не	1	1
13	одно из самых	2	1
14	занимает центральное место	1	1
15	в самом деле	1	1
16	искусство никогда не	1	1
17	и он же	1	1
18	до сих пор	2	1
19	в зависимости от	1	1
20	хотя бы и	2	1
21	ни у кого	1	1
22	что он не	2	1
23	между тем как	1	1
24	не только в	2	1
25	центральное место в	1	1
26	не могут быть	2	1
27	и в этой	4	1
28	по природе своей	1	1
29	не в том	1	1
30	лишь в том	1	1
31	как бы в	1	1
32	для того чтобы	2	1
33	ставит его в	1	1
34	не может быть	17	1
35	к порядку и	1	1
36	не что иное	1	1
37	и не должно	1	1
38	в самом центре	2	1
39	во многих отношениях	1	1
40	между свободой и	1	1
41	он не видит	1	1
42	что и в	1	1
43	не мог быть	1	1
