N	3gram	Medvedev_S_1	VerxiiNi
1	с одной стороны	1	7
2	во всяком случае	1	6
3	по крайней мере	1	5
4	а с другой	1	5
5	главным образом в	1	3
6	в конце концов	2	3
7	в связи с	1	3
8	в том что	2	3
9	то же самое	1	2
10	то же время	1	2
11	в то же	1	2
12	и в этом	1	2
13	а между тем	1	1
14	не может не	1	1
15	чуть ли не	1	1
16	по отношению к	2	1
17	в настоящее время	1	1
18	о том как	1	1
19	сказать и о	1	1
20	и в то	1	1
21	в этой области	1	1
22	не в том	2	1
23	а в том	1	1
24	только то что	1	1
25	это и есть	1	1
