N	2gram	Medvedev_F_3	slovoVRo
1	в романе	4	46
2	и в	27	39
3	может быть	25	37
4	и т	11	35
5	и его	19	33
6	т п	5	33
7	не только	9	24
8	и не	30	22
9	но и	10	21
10	не может	24	20
11	в нем	15	19
12	до конца	4	17
13	в этом	18	16
14	все это	7	16
15	так и	21	15
16	романного жанра	1	15
17	а не	17	14
18	отличие от	2	13
19	как в	4	13
20	в процессе	15	13
21	в пределах	8	13
22	слова в	1	13
23	во всех	3	12
24	в отличие	2	12
25	в истории	5	11
26	художественного изображения	1	11
27	слово в	2	11
28	вовсе не	28	10
29	к своему	1	9
30	и с	3	9
31	не в	12	9
32	языка и	1	9
33	таким образом	18	8
34	оно не	3	8
35	себя в	1	8
36	прежде всего	4	8
37	слова и	4	8
38	точки зрения	16	8
39	еще не	6	7
40	с его	2	7
41	в него	3	7
42	европейского романа	1	7
43	пределах одного	2	7
44	при этом	8	7
45	в этих	3	7
46	для него	1	7
47	с ним	1	7
48	никогда не	5	7
49	могут быть	4	7
50	как мы	8	7
51	язык и	1	7
52	в его	7	7
53	языка как	2	7
54	слово как	3	7
55	и даже	2	7
56	и потому	5	7
57	как бы	8	7
58	в сущности	2	6
59	но не	5	6
60	в своем	2	6
61	все же	6	6
62	но в	6	6
63	все эти	6	6
64	так сказать	5	6
65	значительной степени	1	6
66	в них	3	6
67	в слове	4	6
68	как и	14	6
69	она не	4	6
70	в значительной	1	6
71	язык в	1	6
72	в большинстве	4	6
73	там где	7	6
74	этом случае	1	6
75	жизни и	4	6
76	героя и	2	5
77	в быту	1	5
78	человека в	2	5
79	это не	3	5
80	том что	4	5
81	по себе	4	5
82	слово и	1	5
83	не могут	10	5
84	но все	1	5
85	той или	1	5
86	мира и	1	5
87	с другой	6	5
88	романа в	3	5
89	один из	1	5
90	в том	7	5
91	с одной	1	5
92	конечно не	4	5
93	уже не	3	5
94	и их	5	5
95	одной стороны	1	5
96	или иной	2	5
97	большинстве случаев	5	5
98	и для	6	5
99	только в	8	5
100	романа и	2	5
101	для нас	3	5
102	от него	2	5
103	и все	8	5
104	отношения к	2	4
105	в зависимости	5	4
106	его не	1	4
107	и на	3	4
108	по отношению	3	4
109	всех этих	2	4
110	и обрамления	1	4
111	то же	15	4
112	всех областях	2	4
113	его в	7	4
114	входит в	8	4
115	с другими	1	4
116	и иных	1	4
117	на почве	2	4
118	ни в	8	4
119	в отношении	2	4
120	остается вне	1	4
121	слова к	1	4
122	не менее	7	4
123	в то	7	4
124	одна из	2	4
125	в основе	3	4
126	же время	7	4
127	зависимости от	5	4
128	здесь не	2	4
129	для этого	2	4
130	наконец в	1	4
131	дело с	3	4
132	поэтому и	2	4
133	для всех	1	4
134	и других	1	4
135	так как	9	4
136	этой категории	1	4
137	даже и	1	4
138	и др	2	4
139	с помощью	8	4
140	на фоне	3	4
141	и мир	2	4
142	в той	3	4
143	в основном	2	4
144	в смысле	4	4
145	а в	1	4
146	отношении к	1	4
147	слова с	1	4
148	отношению к	3	4
149	в таком	2	4
150	ту же	2	3
151	как это	4	3
152	в чисто	2	3
153	должна быть	3	3
154	собственном смысле	1	3
155	той же	3	3
156	единство и	1	3
157	язык как	2	3
158	человека и	2	3
159	говорить о	2	3
160	сама по	1	3
161	в собственном	1	3
162	стороны и	2	3
163	к новому	1	3
164	и как	4	3
165	бы и	3	3
166	с их	1	3
167	со всею	2	3
168	высказываний в	1	3
169	на этом	2	3
170	материала и	3	3
171	не с	1	3
172	лишь в	9	3
173	с точки	14	3
174	не была	1	3
175	идеологического творчества	6	3
176	его от	2	3
177	связи с	5	3
178	этом отношении	3	3
179	и равно	1	3
180	в ней	5	3
181	с установкой	2	3
182	языке как	2	3
183	между тем	7	3
184	что и	2	3
185	слов и	4	3
186	быть и	1	3
187	всех его	1	3
