N	4gram	Losev_Dial_3	Freidism
1	в то же время	1	4
2	одной и той же	1	3
3	бы то ни было	1	2
4	– это и есть	1	2
5	и пр – все	1	1
6	т д таким образом	1	1
7	в самом деле что	2	1
8	мы имеем в виду	1	1
9	в самом деле если	1	1
10	коем случае не может	1	1
11	не приходится принимать во	1	1
12	не чем иным как	1	1
13	и пр и пр	1	1
14	в том что в	1	1
15	или по крайней мере	1	1
16	и тем не менее	2	1
17	приходится принимать во внимание	1	1
18	и т д таким	1	1
19	конечно с точки зрения	1	1
20	в коем случае не	3	1
21	что с точки зрения	1	1
22	ни в коем случае	3	1
