N	3gram	Tiupa_Narr_1	slovoVRo
1	не может быть	5	15
2	в отличие от	5	12
3	в значительной степени	2	6
4	с одной стороны	7	5
5	той или иной	4	5
6	по отношению к	6	4
7	то же время	3	4
8	но все же	4	4
9	в то же	3	4
10	в том что	8	4
11	в той или	2	3
12	с точки зрения	2	3
13	в этом отношении	3	3
14	или иной степени	1	3
15	так и в	1	3
16	в свою очередь	3	2
17	а также и	1	2
18	более или менее	2	2
19	не только о	2	2
20	и в особенности	1	2
21	до сих пор	1	2
22	в различные эпохи	1	2
23	может быть и	1	2
24	не только в	2	2
25	включает в себя	1	2
26	так и для	1	2
27	к чужому слову	1	2
28	в связи с	2	2
29	как мы уже	1	2
30	во всех его	1	2
31	точки зрения и	1	1
32	и не в	4	1
33	иметь в виду	1	1
34	а не с	1	1
35	том что в	1	1
36	далеко не все	1	1
37	и даже не	1	1
38	в том числе	6	1
39	том что он	1	1
40	реплики бытового диалога	1	1
41	том что оно	1	1
42	то есть к	1	1
43	не может не	2	1
44	как это было	1	1
45	и в то	1	1
46	до известной степени	1	1
47	сами по себе	2	1
48	лишь одним из	1	1
49	том числе и	4	1
50	перед нами не	2	1
51	могли бы быть	1	1
52	героя и не	1	1
53	она может быть	1	1
54	может быть только	1	1
55	по себе а	1	1
56	религиозного политического и	1	1
57	может и не	1	1
58	а не только	1	1
59	в нем не	1	1
60	так и от	1	1
61	при этом и	1	1
62	чужой речи и	1	1
63	а не в	2	1
64	с другой стороны	4	1
65	все то что	1	1
66	именно в том	2	1
67	тем не менее	3	1
68	о том что	6	1
69	того или иного	2	1
70	здесь не только	1	1
71	становления мира в	1	1
72	как и в	1	1
73	на протяжении всего	1	1
74	наиболее продуктивным в	1	1
75	речь идет о	2	1
76	не с точки	1	1
77	а во второй	1	1
78	нем не только	1	1
79	одна из существенных	1	1
80	тех или иных	1	1
81	не довлеет себе	1	1
82	как мы видели	1	1
83	зрения здесь не	1	1
