N	2gram	Propp_Isto_7	IolandNe
1	и с	1	3
2	должен быть	1	2
3	и не	4	2
4	в этом	12	2
5	он не	6	2
6	что в	13	2
7	ничего не	5	2
8	бы что	1	2
9	все это	8	1
10	автора и	1	1
11	и др	2	1
12	и тот	2	1
13	мы стали	1	1
14	и в	24	1
15	только что	1	1
16	и о	2	1
17	у всех	1	1
18	в эту	1	1
19	я не	1	1
20	то и	4	1
21	какую роль	1	1
22	них не	1	1
23	а по	1	1
24	как только	2	1
25	того же	2	1
26	не остается	1	1
27	с другой	9	1
28	и та	1	1
29	а в	10	1
30	вплоть до	2	1
31	еще одной	1	1
32	доказать что	1	1
33	того что	6	1
34	не дает	1	1
35	и без	1	1
36	после смерти	3	1
37	в руки	1	1
38	свою жену	1	1
39	чтобы доказать	1	1
40	а с	1	1
41	другой стороны	8	1
42	с героем	2	1
43	в первую	7	1
44	не так	2	1
45	а также	1	1
46	в основе	2	1
47	что при	2	1
48	и сам	1	1
49	видит в	2	1
50	отношению к	1	1
51	а если	2	1
52	так и	5	1
53	он с	1	1
54	от этого	1	1
55	против царя	1	1
56	все ясно	2	1
57	то получается	1	1
58	не удовлетворял	1	1
59	во многом	1	1
60	не случайно	3	1
61	никогда не	4	1
62	к отцу	2	1
63	следующим образом	3	1
64	когда его	1	1
65	о ней	1	1
66	жизни и	1	1
67	тем что	6	1
68	в целом	1	1
69	и задача	1	1
70	по отношению	1	1
71	очевидно что	1	1
72	в них	3	1
73	все эти	2	1
74	по существу	4	1
75	если бы	1	1
76	для того	1	1
