N	2gram	Losev_Dial_3	VelikijI
1	и не	27	20
2	и в	24	16
3	свободы и	1	12
4	так как	6	9
5	то что	14	9
6	еще не	2	8
7	в истории	4	8
8	от бога	2	8
9	а не	26	7
10	и потому	2	7
11	не есть	54	6
12	на себя	3	5
13	но и	9	5
14	того что	12	5
15	хотя и	5	5
16	в мире	1	5
17	бога и	1	5
18	все это	6	5
19	что есть	4	5
20	как бы	3	5
21	и есть	16	4
22	говорить о	4	4
23	свою личность	2	4
24	в его	2	4
25	и я	3	4
26	в этом	8	4
27	что он	13	4
28	потому что	7	4
29	в нем	3	4
30	так и	5	4
31	что все	14	4
32	что не	5	4
33	как и	7	4
34	что мы	8	4
35	в котором	1	4
36	в ней	2	4
37	в силах	1	4
38	и все	6	4
39	все что	3	4
40	от этого	1	3
41	и что	15	3
42	должна быть	6	3
43	хотя бы	4	3
44	то это	9	3
45	как не	2	3
46	в чем	4	3
47	с его	2	3
48	во всех	1	3
49	христа в	1	3
50	что и	6	3
51	и будет	1	3
52	в том	5	3
53	тот же	1	3
54	но в	2	3
55	в вопросе	2	3
56	бы и	1	3
57	все эти	3	3
58	и они	2	3
59	они в	1	3
60	их в	2	3
61	не нужна	1	3
62	ни в	9	3
63	в них	5	3
64	не было	3	3
65	должно быть	3	3
66	если не	3	3
67	в этих	1	3
68	нет ничего	9	3
69	не в	3	3
70	к чему	1	3
71	тому что	4	3
72	но это	5	3
73	не имеет	11	3
74	никогда не	7	3
75	верят в	1	3
76	личности и	5	3
77	превращается в	6	3
78	и для	2	3
79	к тому	4	3
80	жизни и	5	3
81	что в	7	3
82	оно не	6	3
83	и это	4	2
84	нем нет	1	2
85	об абсолютном	1	2
86	и то	4	2
87	вечности и	1	2
88	у людей	1	2
89	по которым	1	2
90	верит в	1	2
91	и сам	1	2
92	и т	24	2
93	и за	1	2
94	его не	2	2
95	мы не	5	2
96	с ним	1	2
97	будет уже	1	2
98	в личности	1	2
99	и во	2	2
100	что бога	1	2
101	я думаю	2	2
102	нет и	4	2
103	от этих	1	2
104	не с	1	2
105	духа и	1	2
106	только в	5	2
107	те которые	1	2
108	в себя	1	2
109	абсолютного значения	1	2
110	ничего и	2	2
111	конечно не	4	2
112	уже не	5	2
113	не только	23	2
114	частей мира	1	2
115	вера в	1	2
116	раз навсегда	2	2
117	не так	1	2
118	для него	4	2
119	не к	1	2
120	и никогда	1	2
121	вот почему	1	2
122	тем что	3	2
123	не будет	3	2
124	ценности и	1	2
125	это не	4	2
126	т д	23	2
127	истории и	4	2
128	с презрением	1	2
129	прежде всего	8	2
130	свободе и	1	2
131	все равно	2	2
132	мы и	4	2
133	вопросе о	2	2
134	и тогда	5	2
135	мира в	1	2
136	когда я	1	2
137	не могут	4	2
138	вечность и	2	2
139	тем кто	1	2
140	мир и	3	2
141	самого себя	1	2
142	что было	1	2
143	да и	1	2
144	личность как	2	2
145	одна из	3	2
146	что их	2	2
147	том что	8	2
148	тот кто	1	2
149	тогда уже	2	2
150	для нас	2	2
151	полного и	1	2
152	от него	1	2
153	ее в	2	2
154	есть уже	1	2
155	людей и	2	2
156	это все	1	2
157	а в	2	2
158	но не	2	2
159	могут быть	2	2
160	всего в	1	2
161	во всяком	2	2
162	всегда в	1	1
163	в вечность	1	1
164	чудо и	1	1
165	от этой	1	1
166	речь идет	1	1
167	кто бы	1	1
168	как мы	2	1
169	восстал уже	1	1
170	и спасения	1	1
171	быть может	3	1
172	христа на	1	1
173	в виду	7	1
174	для себя	2	1
175	в ее	1	1
176	же теперь	1	1
177	и позитивизм	2	1
178	в словах	1	1
179	и говорит	1	1
180	он всегда	1	1
181	не имеют	2	1
182	то же	6	1
183	ли это?	1	1
184	вечное и	1	1
185	и которые	1	1
186	да мы	1	1
187	из всего	1	1
188	в результате	1	1
189	и тут	3	1
190	что уже	1	1
191	вопрос о	5	1
192	основана на	1	1
193	и вообще	2	1
194	личности вот	1	1
195	в природном	1	1
196	но может	1	1
197	тогда нет	5	1
198	говорят что	2	1
199	я не	6	1
200	и ее	3	1
201	свой предмет	1	1
202	же что	1	1
203	зависимости от	3	1
204	меня в	2	1
205	думаю что	1	1
206	целое и	2	1
207	в их	2	1
208	и на	3	1
209	он был	1	1
210	и который	1	1
211	бы то	2	1
212	обман ложь	1	1
213	истории в	1	1
214	конечно это	1	1
215	природы и	2	1
216	все в	1	1
217	на христа	1	1
218	что оно	7	1
219	к нему	3	1
220	ко всякому	1	1
221	но как	2	1
