N	3gram	Propp_Isto_2	Komedia
1	до сих пор	6	9
2	в том что	5	9
3	о том что	2	4
4	с самого начала	2	4
5	к тому же	2	4
6	по отношению к	3	3
7	о том как	1	3
8	вместе с тем	5	3
9	в связи с	4	3
10	с одной стороны	3	3
11	тем не менее	1	3
12	так или иначе	1	2
13	в этом случае	5	2
14	что он не	4	2
15	наряду с этим	2	2
16	т е в	1	2
17	в этой связи	1	2
18	с другой стороны	2	2
19	но все же	4	2
20	но об этом	1	1
21	не в состоянии	1	1
22	потому что он	2	1
23	в обоих случаях	1	1
24	дело следовательно не	1	1
25	с тем как	1	1
26	в виду что	1	1
27	подобно тому как	3	1
28	должно было бы	1	1
29	так что он	1	1
30	ни одно из	1	1
31	следовательно не в	1	1
32	в зависимости от	1	1
33	в отличие от	1	1
34	он должен быть	1	1
35	в третий раз	2	1
36	за то что	1	1
37	на то что	2	1
38	и почему он	1	1
39	об этом не	1	1
40	несмотря на то	1	1
41	что и она	1	1
42	в другой раз	2	1
43	здесь мы видим	2	1
44	один из них	1	1
45	он уверен в	1	1
46	его в том	1	1
47	и подобных ей	1	1
48	следует понимать как	1	1
49	в некоторых случаях	2	1
50	то что он	1	1
51	к нему в	1	1
52	из них не	1	1
53	но вместе с	1	1
54	никто об этом	1	1
55	в других случаях	2	1
56	и для нас	1	1
57	и с радостью	1	1
58	и не должен	1	1
59	и не хочет	1	1
60	что у него	1	1
61	впал в безумие	1	1
62	к этому времени	1	1
63	мы имеем в	5	1
64	делает вид что	1	1
65	в стороне в	1	1
66	после того как	2	1
67	по этому поводу	1	1
68	друг от друга	1	1
69	друг с другом	1	1
70	и в его	1	1
71	сих пор были	1	1
72	еще один вопрос	1	1
73	и т д	18	1
74	он умер и	2	1
