N	2gram	Bakhtin_Pr_1	Dialekti
1	не есть	1	54
2	и не	34	27
3	а не	20	26
4	точки зрения	21	25
5	и в	23	24
6	есть нечто	1	23
7	не только	13	23
8	что такое	1	21
9	по себе	7	20
10	не может	11	19
11	ничего не	6	17
12	и есть	5	16
13	и что	1	15
14	что все	3	14
15	с точки	15	14
16	то что	18	14
17	таким образом	11	13
18	что он	10	13
19	вовсе не	8	13
20	может быть	21	13
21	и даже	3	13
22	что это	1	12
23	есть только	1	12
24	того что	2	12
25	есть и	1	12
26	не менее	1	11
27	что же	1	11
28	в сущности	5	10
29	только не	1	10
30	не существует	1	10
31	есть не	2	9
32	ни того	2	9
33	то это	1	9
34	что она	2	9
35	ни в	3	9
36	нарушение законов	1	9
37	но и	11	9
38	в этом	25	8
39	и как	8	8
40	отличается от	2	8
41	так что	1	8
42	прежде всего	7	8
43	что мы	1	8
44	том что	9	8
45	если же	2	8
46	это и	9	7
47	в самом	8	7
48	что мир	1	7
49	как и	8	7
50	никогда не	5	7
51	как раз	4	7
52	потому что	12	7
53	что оно	1	7
54	ничем не	1	7
55	и нет	1	7
56	что в	8	7
57	самом деле	5	6
58	должна быть	2	6
59	я не	3	6
60	то же	10	6
61	об этом	1	6
62	и с	4	6
63	возможно только	1	6
64	превращается в	1	6
65	оно не	2	6
66	если бы	10	6
67	что и	5	6
68	и только	1	6
69	о том	2	6
70	так как	7	6
71	даже не	1	6
72	и пр	1	6
73	не на	3	6
74	и все	3	6
75	все это	7	6
76	кроме того	3	6
77	есть то	3	6
78	вопрос о	4	5
79	точка зрения	7	5
80	хотя и	1	5
81	и к	4	5
82	само по	2	5
83	он не	4	5
84	по крайней	2	5
85	одно и	1	5
86	так и	10	5
87	было бы	6	5
88	в них	3	5
89	мы не	2	5
90	и тогда	1	5
91	в том	11	5
92	можно ли	1	5
93	в то	10	5
94	тогда когда	1	5
95	и притом	2	5
96	и его	13	5
97	только в	8	5
98	уже не	8	5
99	одно из	1	5
100	крайней мере	2	5
101	как же	3	5
102	что не	1	5
103	что для	2	5
104	с этой	1	5
105	но это	5	5
106	не отличается	1	5
107	личности и	1	5
108	только как	1	5
109	жизни и	6	5
110	как на	2	5
111	все остальное	1	4
112	и то	1	4
113	и больше	1	4
114	время как	1	4
115	говорить о	2	4
116	первый план	1	4
117	в чем	1	4
118	и мира	1	4
119	нет и	1	4
120	во что	2	4
121	в истории	2	4
122	конечно не	1	4
123	подобно тому	3	4
124	он просто	1	4
125	это не	10	4
126	на первый	1	4
127	от себя	1	4
128	тому что	2	4
129	но только	1	4
130	от того	2	4
131	не могут	6	4
132	и это	5	4
133	чтобы быть	1	4
134	то время	2	4
135	сказать ни	1	4
136	о нем	11	4
137	к тому	1	4
138	с другой	2	4
139	для него	15	4
140	если оно	1	4
141	говорит о	1	4
142	у нас	1	4
143	так же	6	4
144	тому как	3	4
145	сознания и	3	4
146	хотя бы	2	4
147	только что	1	4
148	сказать что	5	4
149	себя как	5	3
150	была бы	2	3
151	из самых	1	3
152	мы уже	2	3
153	той же	6	3
154	и тут	1	3
155	но даже	1	3
156	зависимости от	3	3
157	и на	10	3
158	и всякий	1	3
159	при условии	1	3
160	за пределы	6	3
161	в одной	4	3
162	что именно	2	3
163	с этим	1	3
164	в своем	8	3
165	все же	5	3
166	перед нами	4	3
167	как таковое	1	3
168	все эти	8	3
169	но его	1	3
170	тем более	1	3
171	в нем	20	3
172	не значит	2	3
173	он должен	1	3
174	не будет	1	3
175	сознание и	3	3
176	того или	1	3
177	он есть	3	3
178	на свои	1	3
179	он и	5	3
180	выйти за	2	3
181	как целое	2	3
182	должно быть	1	3
183	не больше	1	3
184	мир и	6	3
185	не в	6	3
186	раз и	3	3
187	из которых	2	3
188	тем самым	1	3
189	она не	5	3
190	одна из	2	3
191	в основе	5	3
192	на себя	3	3
193	же время	7	3
194	уже и	1	3
195	не мир	1	3
196	я бы	1	3
197	должны быть	1	3
198	и о	3	3
199	и этим	2	3
200	вот это	1	3
201	утверждает что	1	3
202	это было	1	3
203	к нему	3	3
204	не надо	1	3
205	все время	1	3
206	быть и	1	3
207	есть в	3	3
208	то и	2	3
209	при помощи	1	3
210	из них	2	3
211	мир в	2	3
212	сами по	3	3
213	друг друга	3	3
214	случае не	1	3
215	тем что	3	3
216	для того	2	3
217	в каком	1	3
218	не было	3	3
219	его как	5	3
220	ни на	2	3
221	как бы	28	3
222	на свете	1	3
223	внешний мир	1	3
224	и от	1	3
225	мира и	7	3
226	и вера	1	3
227	не знает	1	3
228	все что	3	3
229	например в	3	2
230	же как	1	2
