N	2gram	Tiupa_Lite_3	Mirosoze
1	и в	16	46
2	в нем	2	22
3	у него	1	22
4	может быть	12	21
5	в этом	14	20
6	не только	14	18
7	и не	22	18
8	никогда не	4	18
9	для него	2	18
10	во имя	1	16
11	но и	14	15
12	не может	8	15
13	человека в	2	14
14	как и	5	13
15	ведет к	1	13
16	а не	12	13
17	не есть	1	13
18	друг друга	1	12
19	к человеку	1	12
20	прежде всего	3	12
21	потому что	3	12
22	и он	1	11
23	не было	1	11
24	но он	1	11
25	в ней	1	11
26	у нас	2	11
27	но в	3	10
28	в себе	6	10
29	он не	1	10
30	он был	1	9
31	не в	10	9
32	не знает	2	9
33	и есть	1	8
34	отношение к	2	8
35	в своем	1	8
36	так как	1	8
37	она не	1	8
38	переходит в	1	8
39	как бы	8	8
40	но это	1	8
41	в мире	16	7
42	как в	5	7
43	и к	3	7
44	в нашем	1	7
45	в этой	8	7
46	человеческой личности	1	7
47	хотя бы	1	7
48	и потому	2	7
49	и для	4	7
50	что он	5	7
51	вопрос о	2	6
52	в русской	1	6
53	революции и	1	6
54	не могу	2	6
55	он сам	1	6
56	так же	2	6
57	того что	9	6
58	и там	1	6
59	жизни и	3	6
60	по преимуществу	1	5
61	то же	9	5
62	есть не	1	5
63	я не	2	5
64	в самом	3	5
65	бы и	3	5
66	и вот	2	5
67	в своей	7	5
68	в отношении	1	5
69	в конце	2	5
70	во всем	1	5
71	и его	6	5
72	к тому	6	5
73	это не	5	5
74	один из	2	5
75	человеческого духа	3	5
76	в его	6	5
77	для того	2	5
78	то что	12	5
79	и все	1	5
80	с его	6	4
81	у них	1	4
82	в жизни	8	4
83	нет в	1	4
84	том что	8	4
85	с ума	1	4
86	жизнь и	1	4
87	тому что	1	4
88	не имеет	1	4
89	свободы и	2	4
90	того чтобы	2	4
91	что у	2	4
92	так и	9	4
93	для этого	1	4
94	себя в	7	4
95	уже не	3	4
96	на поверхности	1	4
97	что и	2	4
98	в свою	2	4
99	они не	1	4
100	до конца	4	4
101	самого себя	1	4
102	человека не	1	4
103	что в	2	4
104	это и	1	3
105	той же	3	3
106	и на	2	3
107	иное как	1	3
108	в чем	1	3
109	человеку и	1	3
110	он в	2	3
111	как он	1	3
112	и она	1	3
113	в россии	1	3
114	не бывает	1	3
115	в каждом	1	3
116	и с	2	3
117	в глубине	2	3
118	на все	1	3
119	его в	2	3
120	в них	1	3
121	все равно	1	3
122	и тогда	2	3
123	что было	1	3
124	что иное	1	3
125	по своей	3	3
126	людей и	1	3
127	себя и	2	3
128	момент в	1	3
129	было в	1	3
130	если бы	2	3
131	и перед	2	3
132	о том	6	3
133	нет у	1	3
134	что они	1	3
135	к которой	1	3
136	в том	12	3
137	только в	7	3
138	есть в	1	3
139	тем что	2	3
140	в картине	1	3
141	связано с	1	3
142	нет ничего	1	3
143	жизни в	4	3
144	и от	1	3
145	лишь как	1	3
146	отношении к	1	3
147	на смену	3	3
148	сказать что	1	3
