N	4gram	Losev_Prob_4	Freidism
1	бы то ни было	1	2
2	ни в чем не	1	2
3	не может обойтись без	2	1
4	мы имеем в виду	1	1
5	на самом же деле	2	1
6	тем не менее он	1	1
7	ни в каком случае	3	1
8	в каком случае не	3	1
9	каких бы то ни	1	1
10	не чем иным как	2	1
11	приходит к выводу что	1	1
12	ведь для того чтобы	1	1
13	в данном случае является	1	1
14	или по крайней мере	2	1
15	и тем не менее	3	1
16	и ни в какой	1	1
17	в коем случае не	1	1
18	говорить о том что	1	1
19	каком случае не является	1	1
20	во всяком случае не	1	1
21	ни в коем случае	3	1
22	и не допускать никаких	1	1
23	что в данном случае	1	1
