N	2gram	Vinokur_Ku_3	NovoeSre
1	а не	11	17
2	и в	23	16
3	не может	6	16
4	и не	10	11
5	и есть	5	10
6	что в	13	9
7	как не	1	8
8	в том	22	8
9	он не	3	8
10	культуры и	1	7
11	в этом	16	7
12	может быть	14	7
13	не будет	1	7
14	как и	5	7
15	это есть	1	7
16	не в	5	6
17	ни в	3	6
18	никогда не	1	6
19	лишь в	8	6
20	но это	5	6
21	не знает	2	6
22	в ней	3	5
23	культуры в	1	5
24	и к	3	5
25	не только	17	5
26	xix века	3	5
27	все это	2	5
28	о том	6	4
29	и мы	1	4
30	наше время	1	4
31	то что	4	4
32	это не	3	4
33	прежде всего	9	4
34	не было	4	4
35	должно быть	7	4
36	есть лишь	1	4
37	и потому	1	4
38	по своему	2	4
39	не менее	12	4
40	и для	1	4
41	не имеет	3	4
42	потому что	12	4
43	наши дни	1	3
44	с другой	7	3
45	смысле слова	2	3
46	в ее	4	3
47	должна быть	3	3
48	вопрос о	11	3
49	еще не	9	3
50	за пределы	2	3
51	наряду с	1	3
52	как в	4	3
53	конечно не	2	3
54	не значит	5	3
55	перейти к	2	3
56	но и	3	3
57	не есть	3	3
58	и пр	3	3
59	не означает	2	3
60	с тем	6	3
61	в своей	4	3
62	к жизни	1	3
63	тому как	2	3
64	в россии	2	3
65	она не	3	3
66	что такое	4	3
67	в основе	1	3
68	к тому	3	3
69	в наши	1	3
70	дня и	1	3
71	сказать что	7	3
72	же как	1	2
73	связана с	1	2
74	это и	3	2
75	время как	1	2
76	не имеют	1	2
77	к созданию	1	2
78	переход к	1	2
79	можно было	11	2
80	так и	6	2
81	мы не	3	2
82	и с	3	2
83	для этого	6	2
84	будет уже	3	2
85	но она	1	2
86	я не	5	2
87	и должно	5	2
88	вот почему	1	2
89	реакцией против	1	2
90	и что	7	2
91	и на	1	2
92	стоят на	1	2
93	быть в	2	2
94	на протяжении	2	2
95	но не	3	2
96	все время	1	2
97	с этим	1	2
98	помнить что	1	2
99	хотя и	5	2
100	но в	2	2
101	который в	1	2
102	все эти	7	2
103	с одной	4	2
104	думать что	1	2
105	в себе	1	2
106	уже не	8	2
107	вернуться к	1	2
108	не могла	1	2
109	не к	1	2
110	том чтобы	4	2
111	приобщиться к	1	2
112	что она	5	2
113	в одну	1	2
114	что все	2	2
115	нет и	1	2
116	этом смысле	1	2
117	зависит от	1	2
118	и было	1	2
119	для чего	1	2
120	том что	11	2
121	вместе с	2	2
122	так же	2	2
123	мы говорим	4	2
124	которому не	1	2
125	не знал	1	2
126	мысли и	2	2
127	одной стороны	4	2
128	центр тяжести	1	2
129	мир и	1	2
130	другой стороны	3	2
131	по существу	3	2
132	как будто	1	2
133	и формы	1	2
134	как это	7	2
135	такой же	2	2
136	но для	3	2
137	равно как	2	2
138	в смысле	1	2
139	в то	3	2
140	того чтобы	11	2
141	формы и	3	2
142	и от	1	2
143	приближаемся к	1	2
144	в русском	2	2
145	хотя бы	9	2
146	все они	2	2
147	а в	5	2
148	от всякого	1	2
149	когда мы	3	2
150	могут быть	6	2
151	нужно помнить	1	1
152	также что	2	1
153	зависимость от	1	1
154	и через	2	1
155	легче чем	1	1
156	же так	1	1
157	к таким	1	1
158	характер и	1	1
159	по преимуществу	3	1
160	приводит к	1	1
161	можно лишь	1	1
162	на западе	2	1
163	слишком долго	2	1
164	слова а	1	1
165	был и	1	1
166	природе своей	1	1
167	не с	2	1
168	по природе	1	1
169	вопрос этот	2	1
170	на место	1	1
171	надеяться что	1	1
172	нас и	1	1
173	можно сказать	2	1
174	говорить о	6	1
175	на себя	2	1
176	как я	2	1
177	это должно	1	1
178	то это	3	1
179	в виду	8	1
180	зависимости от	8	1
181	есть вместе	1	1
182	свободно и	1	1
183	думаю что	1	1
184	нужно будет	2	1
185	вопрос об	2	1
186	в чем	5	1
187	не понимали	2	1
