N	3gram	Propp_Russ_1	Hudozhes
1	о том что	4	9
2	и т п	1	8
3	по отношению к	1	8
4	в том что	15	6
5	можно было бы	1	4
6	к тому что	4	4
7	с точки зрения	3	3
8	в этом отношении	1	3
9	в связи с	4	3
10	тем не менее	3	3
11	как и в	1	3
12	и т д	9	3
13	том что в	6	2
14	только потому что	1	2
15	мы уже знаем	1	2
16	в первой половине	1	2
17	подробнее об этом	1	2
18	не только в	1	2
19	на то что	1	2
20	во второй половине	1	2
21	не означает что	1	1
22	по его словам	1	1
23	потому что он	1	1
24	состоит в том	8	1
25	и не случайно	1	1
26	на самом деле	1	1
27	точки зрения в	1	1
28	же как и	1	1
29	и в этом	1	1
30	как это делалось	1	1
31	в таком случае	1	1
32	и та же	1	1
33	на самом же	1	1
34	в себе и	1	1
35	в отличие от	1	1
36	при этом не	1	1
37	в xix в	10	1
38	в это время	2	1
39	тогда как в	1	1
40	перекликаясь друг с	1	1
41	не потому что	1	1
42	по своему происхождению	1	1
43	можно говорить об	1	1
44	объясняется тем что	1	1
45	как в тексте	1	1
46	имеет ничего общего	1	1
47	и потому что	2	1
48	в равной степени	2	1
49	не до конца	1	1
50	не только для	1	1
51	приводит к тому	1	1
52	согласиться с а	1	1
53	во всяком случае	1	1
54	одна и та	1	1
55	не только на	2	1
56	еще не умели	1	1
57	самом же деле	1	1
58	не имеет ничего	1	1
59	об этом так	1	1
60	не только потому	1	1
61	в данном случае	1	1
62	где говорится что	1	1
63	как будто бы	1	1
64	в свою очередь	2	1
65	ничего общего с	1	1
66	с тем что	1	1
67	легко заметить что	1	1
68	но все же	2	1
69	в первый день	4	1
70	так и у	1	1
71	все же не	2	1
72	друг с другом	1	1
73	во многих отношениях	1	1
74	так обстояло дело	2	1
75	что она в	1	1
