N	3gram	Propp_Isto_7	Vvedenie
1	и т д	16	36
2	в том что	4	12
3	о том что	5	12
4	не может быть	3	8
5	тем не менее	4	8
6	до сих пор	2	6
7	в самом деле	1	6
8	том что такое	1	6
9	т д но	1	5
10	и т п	1	5
11	в том чтобы	2	5
12	с другой стороны	8	5
13	по отношению к	1	4
14	и в особенности	1	4
15	в этом случае	1	4
16	можно было бы	1	4
17	на этот вопрос	2	4
18	т е в	2	4
19	в данном случае	3	4
20	не только в	5	4
21	может быть названо	1	4
22	с одной стороны	4	4
23	вместе с тем	1	3
24	вопрос о том	1	3
25	сама по себе	1	3
26	но все же	2	3
27	как мы видели	1	3
28	на том что	1	2
29	до наших дней	1	2
30	в другом месте	1	2
31	состоит в том	1	2
32	во второй половине	1	2
33	то же самое	1	2
34	с точки зрения	1	2
35	точно так же	2	2
36	как он выражается	1	2
37	в связи с	1	2
38	на вопрос о	1	2
39	а так как	1	2
40	ответ на этот	1	2
41	в этих случаях	10	2
42	как мы уже	1	2
43	мы уже знаем	3	2
44	т д в	2	2
45	и в конце	1	1
46	не имеет своего	1	1
47	только потому что	1	1
48	сказать что в	1	1
49	и другого рода	1	1
50	более или менее	1	1
51	никак не может	1	1
52	в своей работе	1	1
53	он мог бы	1	1
54	что по его	1	1
55	дело не только	1	1
56	прямо говорит о	1	1
57	но и в	2	1
58	только в том	1	1
59	т д эти	1	1
60	не представляют собой	1	1
61	вовсе не вытекает	1	1
62	и в каждом	1	1
63	в том-то и	2	1
64	имеем дело с	1	1
65	с этой точки	3	1
66	как если бы	1	1
67	и не в	1	1
68	и что это	1	1
69	ту или иную	1	1
70	в зависимости от	1	1
71	так же как	4	1
72	то ни было	1	1
73	ответ на вопрос	2	1
74	заключается не только	1	1
75	мы имеем в	4	1
76	и потому что	1	1
77	ничего не может	1	1
78	т е с	1	1
79	но уже в	1	1
80	бы то ни	1	1
81	приводят к тому	1	1
82	том-то и дело	1	1
83	же самое и	1	1
84	на вопрос что	1	1
85	этой точки зрения	3	1
86	но не может	1	1
87	условий в которых	1	1
88	а в том	2	1
89	принять участие в	1	1
90	вопрос о связи	1	1
91	таким образом мы	2	1
92	есть и другие	2	1
93	образом связана с	1	1
94	одним из самых	1	1
95	в котором можно	1	1
96	но дело не	1	1
97	не просто как	1	1
98	с этой стороны	3	1
99	ее задачи и	1	1
100	и дело что	1	1
101	но с другой	1	1
102	после того как	2	1
103	т д и	1	1
104	не прямо а	1	1
105	к тому что	1	1
106	так как не	1	1
107	по вопросу о	1	1
108	в них не	1	1
109	но в том-то	2	1
110	а именно в	1	1
111	все это не	1	1
112	не в этом	1	1
113	в качестве примера	1	1
