N	2gram	Bakhtin_sl_2	Mirosoze
1	и в	39	46
2	в нем	19	22
3	у него	3	22
4	может быть	37	21
5	в этом	16	20
6	не только	24	18
7	и не	22	18
8	никогда не	7	18
9	для него	7	18
10	но и	21	15
11	не может	20	15
12	человека в	5	14
13	как и	6	13
14	ведет к	1	13
15	а не	14	13
16	друг друга	1	12
17	прежде всего	8	12
18	не было	2	11
19	но он	2	11
20	в ней	3	11
21	но в	6	10
22	та же	1	10
23	в себе	2	10
24	он не	2	10
25	не в	9	9
26	не знает	2	9
27	и есть	1	8
28	отношение к	4	8
29	в своем	6	8
30	так как	4	8
31	если нет	1	8
32	она не	6	8
33	как бы	7	8
34	но это	3	8
35	до глубины	1	8
36	человека и	3	7
37	ивана карамазова	1	7
38	в мире	1	7
39	как в	13	7
40	и к	6	7
41	в нашем	2	7
42	в этой	1	7
43	человек не	1	7
44	хотя бы	3	7
45	и потому	7	7
46	и для	5	7
47	что он	2	7
48	нем есть	1	6
49	в революции	1	6
50	он сам	1	6
51	и здесь	2	6
52	во власти	2	6
53	того что	1	6
54	и там	3	6
55	жизни и	6	6
56	по преимуществу	1	5
57	то же	4	5
58	есть не	1	5
59	друг к	1	5
60	совсем не	1	5
61	в самом	1	5
62	бы и	3	5
63	что она	1	5
64	к другу	1	5
65	в своей	1	5
66	в отношении	4	5
67	в конце	1	5
68	во всем	4	5
69	и его	33	5
70	и это	1	5
71	те же	2	5
72	это не	5	5
73	один из	5	5
74	в его	7	5
75	него нет	3	5
76	для того	2	5
77	то что	2	5
78	и все	5	5
79	в духе	1	5
80	также и	2	4
81	с его	7	4
82	его на	1	4
83	том что	5	4
84	того чтобы	2	4
85	только и	2	4
86	должен быть	2	4
87	так и	15	4
88	для этого	4	4
89	в русском	1	4
90	себя в	8	4
91	уже не	5	4
92	что и	3	4
93	в свою	3	4
94	они не	2	4
95	до конца	17	4
96	что в	3	4
97	все что	2	4
98	смысле слова	1	3
99	это и	2	3
100	той же	3	3
101	они были	1	3
102	в судьбах	1	3
103	и на	4	3
104	в чем	3	3
105	менее всего	2	3
106	человеку и	1	3
107	он в	1	3
108	творчество достоевского	1	3
109	как он	2	3
110	и она	1	3
111	в каждом	1	3
112	и с	9	3
113	на все	1	3
114	его в	4	3
115	на почве	4	3
116	ни в	4	3
117	в них	6	3
118	все равно	1	3
119	этого необходимо	1	3
120	в такой	1	3
121	не для	1	3
122	того как	2	3
123	по своей	1	3
124	людей и	2	3
125	только с	2	3
126	себя и	4	3
127	момент в	1	3
128	с ним	7	3
129	и должно	1	3
130	о том	2	3
131	не стоит	1	3
132	к которой	1	3
133	в том	5	3
134	только в	5	3
135	и никогда	1	3
136	тем что	1	3
137	с другим	1	3
138	до сих	2	3
139	связано с	3	3
140	с которым	2	3
141	человек в	6	3
142	жизни в	2	3
143	и нет	2	3
144	сих пор	2	3
145	и от	3	3
146	отношении к	4	3
147	сказать что	3	3
148	в своих	1	3
149	нем нет	1	2
150	отношения к	4	2
151	он также	1	2
152	от этой	1	2
153	лишь одна	1	2
154	с таким	2	2
155	и за	1	2
156	его не	4	2
157	в сфере	2	2
158	но она	2	2
159	не был	2	2
160	во всех	12	2
161	то он	1	2
162	по отношению	4	2
163	как к	3	2
164	хотя и	2	2
165	увидим что	1	2
166	и этим	1	2
167	момент его	1	2
168	и те	1	2
169	если он	1	2
170	но на	1	2
171	дальше и	1	2
172	этот процесс	1	2
173	на его	2	2
174	на этом	3	2
175	с собой	1	2
176	еще более	2	2
177	лишь в	3	2
178	то все	1	2
179	достоевского и	1	2
180	не всегда	2	2
181	чем в	2	2
182	должно быть	1	2
183	в этих	7	2
184	точки зрения	8	2
185	другим и	1	2
186	в который	1	2
187	место в	1	2
188	от его	1	2
189	то перед	1	2
190	но эта	2	2
191	которые в	2	2
192	тогда когда	2	2
193	чем не	2	2
194	человека если	1	2
195	человека от	1	2
196	ничего не	1	2
197	к ней	2	2
198	связи с	3	2
199	не до	1	2
200	в основе	4	2
201	к себе	1	2
202	нет ни	1	2
203	оно не	8	2
204	людей в	1	2
205	еще в	1	2
206	в последней	1	2
207	по себе	5	2
208	и что	1	2
209	и глубже	1	2
210	в сущности	6	2
211	нас в	1	2
212	к нему	3	2
213	способность к	1	2
214	все время	1	2
215	наук и	1	2
216	мы увидим	2	2
217	а лишь	2	2
218	между тем	3	2
219	в новых	2	2
220	же и	2	2
221	со своим	9	2
222	уже в	2	2
223	него и	1	2
224	и других	4	2
225	и мир	4	2
226	не о	1	2
227	или иной	5	2
228	как у	1	2
229	интерес к	1	2
230	мы еще	1	2
231	души и	1	2
232	что не	1	2
233	превращается в	1	2
234	такой степени	1	2
235	вместе с	2	2
236	к своему	9	2
237	да и	1	2
238	в более	2	2
239	сознания и	1	2
240	человек и	14	2
241	и самое	1	2
242	его нельзя	1	2
243	соединяется с	1	2
244	быть и	3	2
245	а в	4	2
246	к самому	1	2
247	но этот	1	2
248	отношению к	4	2
249	пор не	2	1
250	оно входит	2	1
251	говорят о	1	1
252	он может	1	1
253	границ и	1	1
254	с идеей	1	1
255	из самых	1	1
256	проникает в	2	1
257	ведь и	2	1
258	от которых	1	1
259	должна быть	3	1
260	было глубоко	1	1
261	в германии	2	1
262	этом направлении	1	1
263	характер его	1	1
264	он знает	1	1
265	мы не	2	1
266	не была	3	1
267	для раскрытия	1	1
268	говорить о	3	1
269	обращения с	1	1
270	индивидуального человека	1	1
271	х годов	2	1
272	и ее	1	1
