N	3gram	Tiupa_Anal_2	Freidism
1	с точки зрения	2	11
2	по отношению к	4	8
3	не может быть	1	7
4	в самом деле	1	6
5	то же время	2	4
6	в то же	2	4
7	в данном случае	5	4
8	можно сказать что	1	4
9	если бы он	1	3
10	в таком случае	2	3
11	на этот вопрос	1	3
12	и тот же	1	3
13	в свою очередь	1	3
14	в конечном счете	2	3
15	он не только	1	2
16	то же самое	1	2
17	в таких случаях	1	2
18	в отличие от	2	2
19	в этом отношении	3	2
20	с одной стороны	4	2
21	тем не менее	3	2
22	бы он был	1	1
23	обнаруживает себя в	2	1
24	и даже не	1	1
25	жизни но эта	1	1
26	те же самые	1	1
27	в этом случае	4	1
28	как раз и	1	1
29	в этой борьбе	1	1
30	хотя бы и	1	1
31	до известной степени	1	1
32	только то что	1	1
33	во всех этих	1	1
34	со всех сторон	1	1
35	по крайней мере	3	1
36	отнюдь не является	1	1
37	а как бы	1	1
38	все что может	1	1
39	из того же	1	1
40	среда в которой	1	1
41	здесь в сознании	1	1
42	одни и те	1	1
43	из них не	1	1
44	ответ на этот	1	1
45	в целом ряде	1	1
46	внешней и внутренней	1	1
47	что существенно для	1	1
48	сказать и о	1	1
49	о том что	6	1
50	не только не	2	1
51	и те же	1	1
52	оно и в	1	1
53	той или иной	3	1
54	его в себя	1	1
55	но и не	1	1
56	в этом смысле	2	1
57	обратим внимание на	1	1
58	и за пределы	1	1
59	как и ее	1	1
60	в том что	6	1
61	его речи и	1	1
62	и все его	1	1
