N	3gram	Berdyaev_M_1	KulturaY
1	и т п	1	24
2	в том что	1	10
3	можно было бы	1	9
4	для того чтобы	2	8
5	в самом деле	1	7
6	во всяком случае	1	5
7	в зависимости от	1	4
8	не только в	2	4
9	не может быть	17	4
10	в конце концов	2	3
11	потому что он	1	2
12	том случае если	1	2
13	хотя бы и	2	2
14	в наше время	1	2
15	в первый период	1	2
16	вместе с тем	5	2
17	в том случае	1	2
18	тем что он	2	2
19	в отличие от	1	2
20	и в том	1	2
21	есть вместе с	1	2
22	но также и	1	2
23	и в самом	3	2
24	в том смысле	2	1
25	он должен быть	1	1
26	прежде всего в	2	1
27	что и это	1	1
28	всех русских писателей	1	1
29	до сих пор	2	1
30	в своей книге	1	1
31	в том только	1	1
32	в иных случаях	1	1
33	что он не	2	1
34	не было бы	5	1
35	но он не	2	1
36	у достоевского и	2	1
37	но это не	1	1
38	смысле в каком	2	1
39	должны привести к	1	1
40	и у других	1	1
41	может быть и	1	1
42	это не было	3	1
43	в значительной степени	1	1
44	то время как	2	1
45	не может уже	1	1
46	ответ на это	1	1
47	но не как	1	1
48	не значит что	1	1
49	по сравнению с	1	1
50	не могут быть	2	1
51	не до конца	1	1
52	и в этой	4	1
53	по природе своей	1	1
54	не только для	1	1
55	не в том	1	1
56	он уже не	2	1
57	все более и	1	1
58	в нынешнем его	1	1
59	но не только	1	1
60	на этом пути	2	1
61	в нем есть	1	1
62	только может быть	1	1
63	хуже всего что	1	1
64	потому что не	1	1
65	но оно не	1	1
66	в то время	2	1
67	лишь в том	1	1
68	о том что	1	1
69	и никогда не	1	1
70	того что составляет	1	1
71	более и более	1	1
72	что иное как	1	1
73	к тому чтобы	2	1
74	конце концов этот	1	1
75	в вопросе о	1	1
76	не что иное	1	1
77	он не хотел	1	1
78	по сравнению со	1	1
79	не только от	1	1
80	русская литература и	1	1
81	основании что в	1	1
