N	3gram	Tiupa_Vved_1	Problemy
1	в пределах одного	1	9
2	по отношению к	7	5
3	то же время	3	5
4	в то же	4	5
5	в отличие от	2	4
6	не может быть	3	4
7	как бы в	1	4
8	в той или	1	3
9	более или менее	2	3
10	можно было бы	2	3
11	к тому же	4	3
12	как мы увидим	1	3
13	с другой стороны	1	3
14	чужого слова в	1	3
15	той или иной	2	3
16	как и в	2	3
17	хотя и не	1	2
18	во внутреннем диалоге	1	2
19	в настоящее время	1	2
20	в этом смысле	1	2
21	друг на друга	1	2
22	с оглядкой на	1	2
23	и та же	1	2
24	как если бы	1	2
25	в том или	1	2
26	но при этом	2	2
27	одна и та	1	2
28	тем не менее	3	2
29	на то что	1	2
30	друг от друга	1	2
31	в этих случаях	2	2
32	о том как	1	1
33	если бы он	1	1
34	в этом мире	1	1
35	иначе обстоит дело	1	1
36	и в жизни	2	1
37	как бы не	1	1
38	большей или меньшей	1	1
39	в этом последнем	1	1
40	в том числе	1	1
41	то же самое	1	1
42	в том же	1	1
43	одной стороны и	1	1
44	и если мы	1	1
45	с установкой на	2	1
46	по крайней мере	1	1
47	в таком случае	1	1
48	а не как	1	1
49	сами по себе	1	1
50	но и в	2	1
51	том числе и	1	1
52	или иной степени	1	1
53	том или ином	1	1
54	здесь не в	1	1
55	у него нет	1	1
56	остается за пределами	1	1
57	в значительной степени	1	1
58	что же было	1	1
59	с одной стороны	5	1
60	на этот раз	1	1
61	в связи с	1	1
62	не входит в	1	1
63	в равной степени	1	1
64	прежде всего на	1	1
65	в нем не	1	1
66	все же не	1	1
67	то что он	1	1
68	на фоне его	1	1
69	во всяком случае	1	1
70	в произведении и	1	1
71	вместо того чтобы	1	1
72	о том что	4	1
73	героя и героини	1	1
74	само по себе	1	1
75	на самом деле	3	1
76	но в этом	1	1
77	можно сказать что	1	1
78	но не в	1	1
79	точка зрения как	1	1
80	времени и пространства	1	1
81	во всех его	1	1
82	в том что	3	1
83	такие определения как	1	1
