N	3gram	Berdyaev_V_1	Problema
1	с другой стороны	1	4
2	бы то ни	1	3
3	в том что	2	3
4	но и в	2	2
5	может и должна	1	2
6	не могут быть	1	2
7	так и в	1	2
8	тому что уже	1	1
9	а между тем	2	1
10	и теперь еще	1	1
11	во что бы	1	1
12	хотя бы и	1	1
13	и должна быть	1	1
14	которые не могли	1	1
15	что бы то	1	1
16	его связь с	1	1
17	все что есть	3	1
18	то ни стало	1	1
19	и в этом	1	1
20	по сравнению с	1	1
21	и менее всего	1	1
22	одна из сторон	1	1
23	в истории и	1	1
24	в нем но	1	1
25	в нем нет	2	1
26	раз и навсегда	1	1
27	и т д	2	1
28	к тому что	3	1
29	как и в	1	1
30	в боге который	1	1
