N	3gram	Potebnia_M_2	Tragedij
1	то же время	2	5
2	в то же	2	5
3	так и в	2	3
4	в отличие от	1	2
5	и как бы	1	2
6	о том что	1	2
7	и в самом	1	2
8	но все же	1	2
9	в том что	7	2
10	в этом случае	1	1
11	а между тем	4	1
12	не только по	2	1
13	никто не скажет	1	1
14	не только о	1	1
15	в таком виде	1	1
16	том что он	1	1
17	распадается на две	1	1
18	и не может	1	1
19	сам по себе	4	1
20	как это часто	1	1
21	и т п	3	1
22	на две неравные	1	1
23	это как бы	1	1
24	может быть не	3	1
25	бы и в	1	1
26	в применении к	1	1
27	на мысль что	1	1
28	во всяком случае	7	1
29	не имеет для	1	1
30	смысле этого слова	3	1
31	и в этом	1	1
32	по сравнению с	1	1
33	тем не менее	5	1
34	не могут быть	3	1
35	все же не	1	1
36	в связи с	1	1
37	то что он	1	1
38	не может быть	2	1
39	на вопрос о	1	1
40	так можно выразиться	1	1
41	в одном из	1	1
42	с самого начала	2	1
43	мысль о том	1	1
44	после того как	2	1
45	скажет что он	1	1
46	как и в	1	1
47	несколько раз и	1	1
48	если так можно	1	1
