N	3gram	Tiupa_Hudo_1	FransuaR
1	то же время	5	8
2	в то же	5	8
3	и в то	1	4
4	более или менее	5	3
5	в том числе	2	3
6	для того чтобы	2	3
7	таким образом и	1	3
8	это и есть	1	3
9	с другой стороны	5	3
10	подобно тому как	1	3
11	с точки зрения	3	2
12	том числе и	1	2
13	с одной стороны	2	2
14	в то время	1	2
15	о том что	1	2
16	можно сказать что	3	1
17	таким образом что	1	1
18	и того же	2	1
19	того же типа	1	1
20	существенно связаны с	1	1
21	то же самое	1	1
22	по своей цели	1	1
23	в одной из	1	1
24	том случае если	1	1
25	до известной степени	2	1
26	а также в	1	1
27	в литературе в	1	1
28	в том случае	1	1
29	же время они	1	1
30	одно и то	3	1
31	как раз в	1	1
32	своему смыслу и	1	1
33	но только для	1	1
34	в самом начале	1	1
35	они существенно связаны	1	1
36	он же и	1	1
37	на первый взгляд	1	1
38	и то же	3	1
39	может быть и	2	1
40	в узком и	1	1
41	в отличие от	7	1
42	а с другой	2	1
43	и на его	1	1
44	в связи с	1	1
45	в его лице	1	1
46	в виду что	1	1
47	в полной мере	1	1
48	не может быть	3	1
49	в свою очередь	2	1
50	в конечном счете	5	1
51	одного и того	2	1
52	по своему смыслу	1	1
53	тех или иных	2	1
54	в соответствии с	1	1
55	в том что	7	1
56	к тому же	1	1
