N	3gram	Losev_Prob_5	Poddanst
1	в то же	1	7
2	то же время	1	7
3	не только в	1	4
4	в том что	8	4
5	с точки зрения	8	3
6	в сравнении с	3	3
7	с одной стороны	3	3
8	в том числе	2	2
9	но и в	2	2
10	в значительной мере	2	2
11	чуть ли не	1	1
12	в настоящее время	3	1
13	в этом смысле	3	1
14	и вслед за	1	1
15	и в этом	1	1
16	еще более резкую	1	1
17	вместе с тем	3	1
18	и то что	3	1
19	и в частности	3	1
20	к науке и	1	1
21	именно на этой	1	1
22	с тем же	1	1
23	не только как	1	1
24	в настоящую минуту	1	1
25	во всяком случае	2	1
26	с другой стороны	5	1
27	не может быть	2	1
28	но в то	1	1
29	в большинстве случаев	1	1
30	можно судить по	1	1
31	в xix в	1	1
32	для того чтобы	2	1
33	насколько можно судить	1	1
34	том числе и	1	1
35	и т д	1	1
