N	4gram	Losev_Prob_2	VLabPisa
1	и в то же	1	3
2	и не может быть	1	2
3	с одной стороны и	3	2
4	в том числе и	2	2
5	в точном смысле слова	1	2
6	это и есть то	1	1
7	говоря уже о том	1	1
8	можно было бы значительно	1	1
9	может идти только о	1	1
10	в том или ином	1	1
11	является не чем иным	1	1
12	уже о том что	1	1
13	значит ли это что	1	1
14	не чем иным как	1	1
15	имеет ничего общего с	2	1
16	в той или иной	1	1
17	было бы значительно увеличить	1	1
18	не имеет ничего общего	2	1
19	о том что и	1	1
20	то как будто бы	1	1
21	и есть то что	1	1
22	той или иной мере	1	1
23	ни в какой мере	1	1
24	в то время как	1	1
25	речь может идти только	1	1
26	так же как и	1	1
27	же в таком случае	1	1
28	можно говорить только о	1	1
29	не может быть никакого	1	1
30	как один из видов	1	1
31	в какой мере не	1	1
32	не говоря уже о	4	1
