N	3gram	Medvedev_F_1	NovoeSre
1	в высшей степени	1	6
2	не может быть	5	4
3	со всех сторон	1	3
4	в этом смысле	1	2
5	и заключается что	1	2
6	вместе с тем	1	2
7	так же как	1	2
8	с одной стороны	4	2
9	том и заключается	1	2
10	с другой стороны	1	2
11	в том и	1	2
12	по своей природе	1	1
13	для этого она	1	1
14	и до сих	1	1
15	в том числе	1	1
16	же как и	1	1
17	до сих пор	6	1
18	и во всех	1	1
19	и не может	2	1
20	в зависимости от	2	1
21	сами по себе	2	1
22	в отличие от	1	1
23	но и в	1	1
24	том числе и	1	1
25	в то что	1	1
26	и в истории	1	1
27	и не в	2	1
28	не начало нового	1	1
29	все это формы	1	1
30	в том чтобы	2	1
31	еще не было	1	1
32	приводит к отрицанию	1	1
33	это конечно не	1	1
34	во всяком случае	4	1
35	как это делали	1	1
36	и к ней	1	1
37	но для этого	1	1
38	в социальной жизни	2	1
39	та или иная	1	1
40	жизни а это	1	1
41	она не должна	1	1
42	это значит что	1	1
43	выходит за пределы	1	1
44	в новое время	1	1
45	в большинстве случаев	2	1
46	и не менее	3	1
47	в том что	1	1
