N	2gram	Ircho_Kome_1	PoTuStor
1	может быть	9	17
2	и в	22	16
3	в этом	3	9
4	таким образом	8	9
5	и только	1	9
6	мы можем	4	9
7	прежде всего	5	9
8	и с	3	8
9	точки зрения	4	8
10	и его	8	8
11	не может	2	8
12	совершенно не	1	8
13	не только	10	7
14	сказать что	1	7
15	при этом	5	6
16	и это	1	6
17	и к	1	6
18	еще не	2	5
19	в чем	3	5
20	отношение к	3	5
21	ни в	6	5
22	нуждается в	1	5
23	как бы	1	5
24	на самом	1	4
25	и ее	3	4
26	и на	3	4
27	отнюдь не	1	4
28	но в	4	4
29	в этой	7	4
30	в нем	4	4
31	его в	3	4
32	все это	5	4
33	самого начала	1	4
34	как мы	4	4
35	с ее	2	4
36	с самого	1	4
37	так и	5	4
38	в его	5	4
39	только в	3	4
40	для всех	2	4
41	так как	4	4
42	и даже	5	4
43	но и	11	4
44	и не	8	4
45	и все	3	4
46	хотя бы	1	4
47	все что	2	4
48	тех же	2	3
49	едва ли	7	3
50	во всех	1	3
51	в общем	1	3
52	и как	3	3
53	и художественного	1	3
54	на две	2	3
55	и теперь	2	3
56	и вот	4	3
57	на этом	2	3
58	на этой	1	3
59	том что	12	3
60	во время	5	3
61	никаких оснований	1	3
62	сих пор	2	3
63	в одном	8	3
64	и притом	2	3
65	до сих	2	3
66	чем не	1	3
67	к себе	1	3
68	те же	1	3
69	мира и	1	3
70	и она	1	3
71	в том	11	3
72	в большинстве	1	3
73	только на	1	3
74	большинстве случаев	1	3
75	мы знаем	2	3
76	всяком случае	2	3
77	даже не	2	3
78	в области	2	3
79	и др	1	3
80	вместе с	2	3
81	и потому	1	3
82	как это	3	3
83	могут быть	3	3
84	в основном	1	3
85	что в	6	3
86	в этих	1	3
87	а в	6	3
88	то что	2	3
89	жизни и	1	3
90	во всяком	2	3
91	ту же	2	2
92	же как	3	2
93	в самом	2	2
94	мы уже	1	2
95	мы не	3	2
96	и о	3	2
97	говорить о	1	2
98	того же	2	2
99	из этих	1	2
100	совсем не	2	2
101	друг на	1	2
102	за пределы	2	2
103	с этим	1	2
104	в этот	1	2
105	что это	1	2
