N	3gram	Bakhtin_KF_1	TeoriaLi
1	по отношению к	22	8
2	я в мире	1	7
3	в том что	2	6
4	то же время	2	6
5	в то же	2	6
6	того или иного	3	5
7	в конечном счете	1	4
8	тем не менее	2	3
9	в свою очередь	1	3
10	той или иной	2	3
11	в этом смысле	3	3
12	и того же	1	2
13	в этом мире	1	2
14	в данный момент	3	2
15	в соответствии с	2	2
16	с точки зрения	9	2
17	в противном случае	1	2
18	и тем самым	1	2
19	одного и того	1	2
20	не может быть	11	2
21	себя в другом	1	1
22	но прежде всего	1	1
23	это уже не	1	1
24	если он не	1	1
25	дело в том	1	1
26	имеем в виду	2	1
27	в настоящее время	1	1
28	со всех сторон	1	1
29	смысле можно говорить	1	1
30	не было и	1	1
31	и в то	1	1
32	по своей структуре	1	1
33	бы то ни	2	1
34	ведь это не	1	1
35	во всей его	2	1
36	в основе своей	1	1
37	он ни был	2	1
38	то или иное	2	1
39	в том случае	1	1
40	случае мы имеем	1	1
41	может быть и	1	1
42	этом смысле можно	1	1
43	в значительной степени	1	1
44	между ним и	1	1
45	не совпадает с	1	1
46	здесь мы имеем	2	1
47	в первом случае	1	1
48	то ни было	2	1
49	в которой я	1	1
50	и не быть	2	1
51	в себя и	1	1
52	отношению к нему	4	1
53	мы имеем не	1	1
54	не содержит в	1	1
55	для меня эта	1	1
56	в известном смысле	1	1
57	и по отношению	1	1
58	для меня в	2	1
59	и как бы	1	1
60	себя в своих	1	1
61	и это существенно	1	1
62	своей причастности к	1	1
63	вследствие того что	1	1
64	тем или иным	1	1
65	она могла бы	2	1
66	в одном случае	1	1
67	к чему не	2	1
68	ни к чему	2	1
69	включает в себя	2	1
70	но в то	1	1
71	ту или иную	1	1
72	неслиянное и нераздельное	1	1
73	в большинстве случаев	1	1
74	в данном контексте	1	1
75	возможна только в	1	1
76	дело не в	1	1
77	весь мир все	1	1
78	для того чтобы	1	1
79	и не субъективно	1	1
80	по себе а	1	1
81	мира и его	1	1
82	отношении к нему	1	1
83	уже не мыслится	1	1
84	входит в его	1	1
