N	3gram	Tiupa_Disk_1	EvropaiC
1	в том что	13	16
2	до сих пор	1	12
3	по отношению к	9	10
4	с точки зрения	1	8
5	на самом деле	1	7
6	более или менее	2	7
7	на то что	1	7
8	в этом случае	1	4
9	том случае если	1	4
10	в том случае	1	4
11	к тому же	4	4
12	с другой стороны	3	4
13	не может быть	3	4
14	о том что	5	4
15	тем не менее	1	4
16	и того же	2	3
17	одного и того	2	3
18	в данном случае	2	3
19	в связи с	1	3
20	в целом ряде	1	3
21	заключается в том	1	3
22	и может быть	1	2
23	в том и	1	2
24	том что он	1	2
25	что же касается	2	2
26	как и все	1	2
27	только то что	1	2
28	он не может	1	2
29	то же время	4	2
30	вместе с тем	1	2
31	с одной стороны	9	2
32	а с другой	3	2
33	таким же образом	1	2
34	во всяком случае	1	2
35	во всех этих	1	2
36	как и в	1	2
37	в свою очередь	3	2
38	но все же	1	2
39	в то же	3	2
40	и в том	1	2
41	нет и не	1	1
42	в чистом виде	1	1
43	никогда не было	1	1
44	не только по	1	1
45	и то же	1	1
46	состоит именно в	1	1
47	дело в том	1	1
48	а потому и	1	1
49	а не в	2	1
50	не говоря уже	2	1
51	в этом последнем	1	1
52	но при этом	3	1
53	ходе своего развития	1	1
54	в этом пункте	1	1
55	то же самое	2	1
56	и тому же	1	1
57	только по отношению	1	1
58	в котором они	1	1
59	только в том	2	1
60	из них в	1	1
61	и не может	1	1
62	говоря уже о	2	1
63	из того что	1	1
64	том числе и	2	1
65	том или ином	1	1
66	точки зрения на	1	1
67	по крайней мере	2	1
68	одно и то	1	1
69	в равной мере	1	1
70	что во всех	1	1
71	в том или	1	1
72	в каждом индивидуальном	1	1
73	уже одно это	1	1
74	свидетельствует о том	1	1
75	именно в этой	1	1
76	состоит в том	2	1
77	каждый из них	1	1
78	как и вообще	1	1
79	не в том	3	1
80	или менее значительный	1	1
81	так и от	1	1
82	и все прочие	1	1
83	перед нами два	1	1
84	том и в	1	1
85	именно в том	1	1
86	в тех случаях	1	1
87	а в том	2	1
88	и по своему	1	1
89	в научной литературе	1	1
90	то есть в	2	1
91	с самого начала	1	1
92	в различных пропорциях	1	1
93	а позднее и	2	1
94	несмотря на все	1	1
95	можно рассматривать как	1	1
96	лицо к которому	1	1
97	тех случаях когда	1	1
98	в другом случае	1	1
99	существенно отличалась от	1	1
100	это не случайно	1	1
101	в том числе	2	1
102	пока еще не	3	1
103	как мы видели	1	1
104	одному и тому	1	1
105	дальше отстоит от	1	1
106	тот или иной	2	1
107	и в другом	1	1
