N	3gram	Ircho_Kome_1	Freidism
1	по отношению к	3	8
2	во всяком случае	2	7
3	в большинстве случаев	1	5
4	и прежде всего	1	5
5	в зависимости от	1	4
6	то же время	4	4
7	в то же	4	4
8	в данном случае	1	4
9	как мы уже	1	4
10	как мы видели	1	4
11	для того чтобы	1	3
12	бы то ни	2	3
13	и тот же	1	3
14	с самого начала	1	3
15	в чем не	1	2
16	то же самое	2	2
17	что же касается	1	2
18	до сих пор	2	2
19	в отличие от	1	2
20	это вовсе не	1	2
21	в этом отношении	3	2
22	ни в чем	1	2
23	то ни было	2	2
24	с одной стороны	3	2
25	тем не менее	1	2
26	мы уже знаем	1	2
27	в высшей степени	1	2
28	в конце концов	4	2
29	том что в	1	1
30	за отказ от	1	1
31	или хотя бы	1	1
32	но прежде всего	1	1
33	по меньшей мере	2	1
34	и даже не	1	1
35	в первые годы	1	1
36	во всех отношениях	1	1
37	можно говорить о	1	1
38	по аналогии с	1	1
39	в этот период	1	1
40	со всех сторон	1	1
41	в коем случае	1	1
42	из того же	1	1
43	до конца и	1	1
44	ни в коем	1	1
45	в каком контексте	1	1
46	за чистую монету	1	1
47	но при этом	1	1
48	как будто бы	1	1
49	содержания и формы	1	1
50	независимо от них	1	1
51	из них не	1	1
52	вкратце остановиться на	1	1
53	необходимо вкратце остановиться	1	1
54	мы знаем о	1	1
55	а может быть	1	1
56	бросается в глаза	1	1
57	сделать заключение что	1	1
58	внешней и внутренней	2	1
59	и вот в	1	1
60	таким образом в	2	1
61	в то время	5	1
62	каждого из этих	1	1
63	о том что	3	1
64	чем же она	1	1
65	можно сделать вывод	1	1
66	но и не	1	1
67	и о других	1	1
68	смысле этого слова	1	1
69	то время когда	1	1
70	от всей этой	1	1
71	и т д	4	1
72	оно все же	1	1
73	сделать вывод что	1	1
74	в том что	9	1
75	может быть даже	2	1
