N	2gram	Medvedev_I_1	Myshleni
1	в этом	2	24
2	и в	1	20
3	что в	2	19
4	в основе	1	17
5	с другой	1	12
6	в целом	1	11
7	того что	1	10
8	того же	1	9
9	понятий и	1	9
10	другой стороны	1	9
11	и не	2	8
12	и тот	1	7
13	того чтобы	1	7
14	тем что	1	7
15	все эти	1	5
16	никогда не	1	5
17	так и	1	5
18	если бы	1	5
19	для того	1	5
20	и с	3	4
21	первую очередь	1	4
22	в первую	1	4
23	только что	1	4
24	следующим образом	1	3
25	со всеми	1	3
26	себя в	1	3
27	по существу	1	3
28	бы в	1	3
29	нам в	1	2
30	для других	1	2
31	нисколько не	1	2
32	на котором	1	2
33	что при	1	2
34	а также	1	2
35	для него	1	2
36	а с	1	2
37	самого себя	2	2
38	как только	1	2
39	а в	1	2
40	тех же	1	1
41	говорить о	1	1
42	я не	1	1
43	и со	1	1
44	по отношению	1	1
45	он не	2	1
46	а по	1	1
47	его личности	1	1
48	комплекс не	1	1
49	оказывается для	1	1
50	доказательство того	1	1
51	вплоть до	1	1
52	как о	1	1
53	ничего не	2	1
54	доказать что	1	1
55	и та	1	1
56	и сам	1	1
57	должен быть	2	1
58	бы все	1	1
59	то и	1	1
60	видит в	1	1
61	а если	1	1
62	все это	1	1
63	отношению к	1	1
64	по поводу	1	1
