N	3gram	Vinokur_Ku_2	FransuaR
1	то же время	3	8
2	в то же	3	8
3	в большинстве случаев	1	5
4	в конце концов	3	4
5	и до конца	1	3
6	для того чтобы	8	3
7	с другой стороны	7	3
8	с самого начала	1	3
9	таким образом в	1	3
10	с точки зрения	8	2
11	если же вы	1	2
12	и в других	1	2
13	в узком смысле	2	2
14	с одной стороны	1	2
15	это своего рода	1	2
16	не только в	4	2
17	в то время	1	2
18	о том что	1	2
19	как мы видели	1	2
20	можно сказать что	2	1
21	а следовательно и	2	1
22	дело в том	1	1
23	дает нам право	1	1
24	и дает нам	1	1
25	находится в противоречии	1	1
26	но как и	1	1
27	но все это	1	1
28	до сих пор	1	1
29	том случае если	2	1
30	слова и выражения	2	1
31	в этом отношении	3	1
32	и то что	1	1
33	и вовсе не	2	1
34	в том случае	2	1
35	и что на	2	1
36	то время как	1	1
37	за собой и	1	1
38	в данном случае	1	1
39	мы находим и	1	1
40	что на самом	1	1
41	в первый раз	1	1
42	тем что он	2	1
43	в противоречии с	1	1
44	с тех пор	1	1
45	и все его	1	1
46	это и дает	1	1
47	смысле этого слова	1	1
48	дело дошло до	1	1
49	а также и	1	1
50	может быть и	1	1
51	в узком и	1	1
52	в отличие от	2	1
53	по природе своей	1	1
54	в связи с	3	1
55	в виду что	1	1
56	большую роль в	1	1
57	но в этой	1	1
58	как мы знаем	1	1
59	не может быть	4	1
60	данном случае в	1	1
61	другой стороны эта	1	1
62	очень большую роль	1	1
63	узком смысле слова	1	1
64	и в серьезных	1	1
65	в нашем смысле	2	1
66	в свою очередь	2	1
67	в конечном счете	2	1
68	мы не знаем	1	1
69	это для того	1	1
70	но даже и	2	1
71	в вопросе о	1	1
72	но это не	1	1
73	в особенности же	2	1
74	тех или иных	1	1
75	на самом деле	2	1
76	в буквальном смысле	1	1
77	в соответствии с	2	1
78	в том что	10	1
79	к тому же	1	1
