N	2gram	Voloshinov_1	Problemy
1	и не	16	31
2	и в	15	29
3	в его	9	24
4	может быть	13	24
5	в этом	13	22
6	а не	2	22
7	точки зрения	13	19
8	в нем	4	19
9	как бы	11	19
10	для него	5	18
11	то что	10	15
12	не только	5	15
13	не как	1	14
14	но и	4	14
15	то же	7	14
16	и его	15	14
17	рядом с	2	14
18	с точки	10	13
19	уже не	5	13
20	как и	6	12
21	не может	13	12
22	о себе	2	12
23	таким образом	21	12
24	точка зрения	1	12
25	в одном	3	10
26	в то	6	10
27	только в	6	10
28	в самом	6	10
29	все эти	9	9
30	все же	5	9
31	же время	5	9
32	себе самом	3	9
33	это не	2	9
34	если бы	3	9
35	о нем	1	9
36	с его	8	9
37	но не	5	9
38	последнее слово	1	8
39	отношению к	9	8
40	в своей	9	8
41	по себе	2	8
42	потому что	4	8
43	что в	6	8
44	в том	4	8
45	по отношению	11	8
46	до конца	5	8
47	что он	8	8
48	в своем	2	8
49	в себе	4	7
50	входит в	1	7
51	прежде всего	11	7
52	так и	10	7
53	вовсе не	2	7
54	не в	4	7
55	с другими	5	7
56	а в	6	7
57	за пределы	2	7
58	а как	1	7
59	мира и	1	7
60	в форме	1	7
61	и на	3	7
62	она не	2	7
63	но в	9	7
64	и как	1	7
65	том что	5	7
66	одним из	3	6
67	так же	1	6
68	к нему	7	6
69	как раз	2	6
70	его в	8	6
71	этого мира	1	6
72	что она	2	6
73	не могут	3	6
74	в целом	2	6
75	выражение в	2	6
76	в одной	2	6
77	и потому	8	6
78	самом деле	7	6
79	на мир	1	6
80	точку зрения	4	6
81	могут быть	6	6
82	в мире	1	6
83	все это	5	6
84	как в	3	6
85	так как	9	6
86	одной плоскости	1	5
87	еще не	7	5
88	во всяком	4	5
89	должна быть	1	5
90	с ним	12	5
91	более того	2	5
92	но все	2	5
93	сознания и	5	5
94	на самом	2	5
95	между тем	2	5
96	и о	3	5
97	было бы	6	5
98	мысли и	4	5
99	это и	1	5
100	зависимости от	2	5
101	сознание и	4	5
102	ничего не	2	5
103	той же	2	5
104	с их	3	5
105	мира в	1	5
106	и др	8	5
107	в зависимости	2	5
108	у него	3	5
109	именно в	3	5
110	он не	4	5
111	или как	3	5
112	и это	1	5
113	перед нами	1	5
114	он и	2	5
115	и с	7	4
116	и наконец	10	4
117	что же	4	4
118	другого человека	1	4
119	и для	2	4
120	не было	4	4
121	даже в	1	4
122	бы и	2	4
123	все то	2	4
124	превращается в	1	4
125	и самого	1	4
126	что и	2	4
127	они не	2	4
128	как мы	10	4
129	не на	1	4
130	что было	1	4
131	тем что	1	4
132	и т	1	4
133	должно быть	2	4
134	как же	1	4
135	в основе	3	4
136	из одного	1	4
137	в этой	5	4
138	от того	3	4
139	так сказать	3	4
140	в процессе	4	4
141	их в	2	4
142	в плоскости	1	4
143	раз и	1	4
144	но эта	1	4
145	и следовательно	1	4
146	человека в	3	4
147	но это	2	4
148	приводит к	2	3
149	и здесь	1	3
150	бы в	2	3
151	внешнего мира	1	3
152	как на	3	3
153	этот принцип	1	3
154	художественного творчества	1	3
155	не знает	3	3
156	только то	3	3
157	не дает	1	3
158	в другой	1	3
159	он стремится	1	3
160	он сам	4	3
161	целом ряде	1	3
162	оно не	2	3
163	все его	2	3
164	например в	1	3
165	отношения к	2	3
166	мир в	2	3
167	в себя	5	3
168	но как	1	3
169	на него	4	3
170	на почве	2	3
171	не входит	1	3
172	мы должны	7	3
173	и у	6	3
174	уже в	1	3
175	ни в	6	3
176	всяком случае	3	3
177	в человеке	5	3
178	то чем	1	3
179	ни один	2	3
180	он в	1	3
181	в мир	3	3
182	себе и	1	3
183	тому что	3	3
184	этом отношении	2	3
185	и этим	3	3
186	себе самому	1	3
187	далеко не	4	3
188	все в	1	3
189	в своих	4	3
190	я не	3	3
191	с другой	1	3
192	если же	1	3
193	по существу	1	3
194	никогда не	7	3
195	была бы	1	3
196	и до	3	3
197	таким же	1	3
198	и пр	9	3
199	как будто	1	3
200	но именно	1	3
201	все что	9	3
202	одна из	3	3
203	сказать что	6	3
204	войти в	3	2
205	в которой	1	2
206	не позволяет	2	2
207	жизни а	1	2
208	со своим	1	2
209	отсюда и	1	2
210	бы он	3	2
211	со своими	1	2
212	все те	4	2
213	данном случае	3	2
214	вопрос о	1	2
