N	2gram	Bakhtin_Fr_6	ViktorSh
1	в книге	3	3
2	конце концов	1	2
3	и в	41	2
4	том что	7	2
5	в том	2	2
6	в конце	2	2
7	тем более	2	1
8	в устах	1	1
9	и почти	1	1
10	под влиянием	1	1
11	в другом	4	1
12	и не	3	1
13	все время	4	1
14	и его	13	1
15	потому что	3	1
16	хотел сказать	1	1
17	и то	2	1
18	самом деле	4	1
19	другом месте	4	1
20	и т.д	1	1
21	все это	11	1
22	совершенно ясно	1	1
23	по поводу	1	1
24	именно в	4	1
25	по своим	1	1
26	в их	1	1
27	дело в	1	1
28	говорили в	1	1
29	в частности	2	1
30	все то	5	1
31	время в	1	1
32	ведь это	2	1
33	в сугубо	1	1
34	в которых	1	1
35	в значительной	2	1
36	сводится в	1	1
37	в самом	10	1
38	зависят от	1	1
39	только в	3	1
40	то же	5	1
41	ясно что	1	1
42	так как	10	1
43	далеко не	1	1
44	не будем	2	1
45	но это	3	1
46	в этом	12	1
47	да и	1	1
48	чем больше	1	1
49	о теории	1	1
50	по существу	1	1
51	значительной степени	1	1
