N	2gram	Nazirov_Tr_1	Hudozhes
1	и в	18	28
2	в рассказе	2	21
3	том что	4	19
4	в ее	2	18
5	и не	7	18
6	своего рода	3	16
7	в том	2	15
8	а не	1	14
9	в этом	9	13
10	не в	2	13
11	о том	2	12
12	перед нами	2	11
13	не только	8	11
14	при этом	3	11
15	как и	5	11
16	в его	3	11
17	уже не	2	10
18	не случайно	2	10
19	в себе	4	9
20	но и	4	9
21	так и	5	8
22	между тем	1	8
23	что он	6	8
24	в душе	2	8
25	может быть	7	8
26	о чем	3	8
27	я не	4	7
28	тогда как	1	7
29	казалось что	1	7
30	что она	2	7
31	в мире	3	7
32	об этом	4	7
33	к тому	2	7
34	в частности	2	7
35	как это	3	7
36	и все	4	7
37	с ним	3	7
38	жизни в	1	7
39	я и	1	6
40	в котором	1	6
41	то же	5	6
42	не было	1	6
43	и с	7	6
44	в глазах	2	6
45	в своей	1	6
46	в то	5	6
47	тем что	2	6
48	это не	5	6
49	то что	4	6
50	с его	2	5
51	в этой	4	5
52	как в	3	5
53	в самом	2	5
54	что это	5	5
55	не могла	1	5
56	рядом с	1	5
57	в своем	3	5
58	не менее	1	5
59	у него	6	5
60	никогда не	2	5
61	ничего не	2	5
62	и его	6	5
63	она не	1	5
64	и сам	3	5
65	только на	1	5
66	одно из	1	5
67	для него	3	5
68	наряду с	1	5
69	как бы	7	5
70	с ее	3	5
71	что в	4	5
72	а между	1	4
73	и т	1	4
74	но не	1	4
75	то в	1	4
76	он не	2	4
77	пародия на	1	4
78	тем не	1	4
79	тому что	1	4
80	же время	6	4
81	как будто	3	4
82	и о	1	4
83	того чтобы	1	4
84	только в	1	4
85	что и	2	4
86	говорит о	2	4
87	то и	2	4
88	не может	5	4
89	бы и	2	4
90	чтобы не	1	3
91	человека и	1	3
92	на себя	1	3
93	и он	3	3
94	в ней	1	3
95	но при	2	3
96	еще не	4	3
97	и на	7	3
98	столь же	2	3
99	бы не	1	3
100	как он	1	3
101	в нем	4	3
102	можно было	1	3
103	что все	2	3
104	в это	2	3
105	в них	1	3
106	несмотря на	5	3
107	ее души	1	3
108	любви и	2	3
109	к себе	1	3
110	в человеке	1	3
111	и это	2	3
112	когда в	1	3
113	это была	1	3
114	к нему	3	3
115	с ними	1	3
116	и ее	2	3
117	с одной	1	3
118	для нас	1	3
119	характерно что	1	3
120	в одном	2	3
121	что на	1	3
122	все время	1	3
123	прежде всего	4	3
124	так же	4	3
125	все это	4	3
126	героя и	1	3
127	о себе	1	3
128	есть и	1	3
129	по поводу	2	3
130	самом деле	1	3
131	во сне	2	3
132	к людям	3	2
133	и то	2	2
134	в первом	2	2
135	той же	1	2
136	а как	2	2
137	который в	2	2
138	на пороге	1	2
139	он сам	7	2
140	отношение к	2	2
141	более чем	1	2
142	в мыслях	1	2
143	все же	5	2
144	но в	6	2
145	со своей	1	2
146	роли в	1	2
147	не как	1	2
148	на этом	1	2
149	ее жизни	2	2
150	же не	1	2
151	а по	1	2
152	лишь в	1	2
153	его в	2	2
154	это было	1	2
155	героини в	1	2
156	обратимся к	1	2
157	же я	1	2
158	можно так	1	2
159	если можно	1	2
160	знает и	1	2
161	не столько	1	2
162	что говорит	2	2
163	что я	4	2
164	начнем с	1	2
165	вместе со	2	2
166	называет его	1	2
167	того как	1	2
168	одна из	2	2
169	только не	1	2
170	и внутренним	1	2
171	к ней	1	2
172	ему в	1	2
173	как мы	1	2
174	людей в	1	2
175	на другой	1	2
176	данном случае	2	2
177	мысль о	1	2
178	роль в	1	2
179	с собой	1	2
180	за этими	1	2
181	в последней	1	2
182	о нем	1	2
183	хоть на	1	2
184	и т.д	1	2
185	в другом	1	2
186	в смерти	1	2
187	с того	1	2
188	а также	1	2
189	нуждается в	1	2
190	говорит в	1	2
191	один из	3	2
192	звезды и	1	2
193	дело с	1	2
194	именно на	1	2
195	так выразиться	1	2
196	в виде	2	2
197	т п	1	2
198	этими словами	1	2
199	жизни на	1	2
200	в финале	1	2
201	никого не	1	2
202	как у	2	2
203	именно в	1	2
204	как же	2	2
205	была и	1	2
206	что не	1	2
207	а за	1	2
208	именно так	1	2
209	вместе с	1	2
210	в духе	1	2
211	в данном	2	2
212	видит в	1	2
213	с такой	1	2
214	писателя в	1	2
215	и от	1	2
216	о его	2	2
217	это был	2	2
218	перед смертью	1	2
219	не является	1	2
220	отнюдь не	3	2
221	в двух	1	2
222	в голову	1	2
223	это уже	2	2
224	у которого	1	2
225	потому что	2	2
226	хотя бы	1	2
227	в ресторане	2	2
228	личности и	2	2
229	и эта	1	2
230	что даже	1	2
231	т е	1	2
232	к числу	1	2
233	этой связи	1	2
234	но еще	1	2
235	разговоре с	1	2
236	тем самым	3	2
237	эта новая	1	1
238	одним из	1	1
239	например в	1	1
240	в сфере	1	1
241	это и	1	1
242	на деле	1	1
243	последней главе	1	1
244	за все	1	1
245	на две	1	1
246	жизни ее	1	1
247	голову что	1	1
248	высшей степени	1	1
249	века в	1	1
250	ложась спать	1	1
251	из ее	1	1
252	ему хотелось	1	1
253	в xix	1	1
254	он был	2	1
255	трех рассказов	1	1
256	на них	1	1
257	между собой	1	1
258	и личность	2	1
259	во всех	1	1
260	могло быть	1	1
261	этого мотива	1	1
262	я я	1	1
263	свою жизнь	1	1
264	с отцом	1	1
265	а он	1	1
266	в общем	1	1
267	с каким	1	1
268	автора но	2	1
269	не просто	2	1
270	за пределы	1	1
271	в настоящем	1	1
272	в той	1	1
273	она как	2	1
274	дистанция между	1	1
275	боли и	2	1
276	напомним что	1	1
277	имеет в	2	1
278	для ее	1	1
279	и детей	2	1
280	общую для	1	1
281	добро и	1	1
282	оттого что	1	1
283	в которой	1	1
284	представляет собой	1	1
285	он в	1	1
286	все эти	3	1
287	и отношения	1	1
288	человек не	1	1
289	так сказать	1	1
290	жизнью и	2	1
291	что без	1	1
292	по словам	2	1
293	ненависти и	1	1
294	мать и	1	1
295	душу и	1	1
296	мера его	1	1
297	содержит в	1	1
298	на земле	1	1
299	так часто	1	1
300	дистанции между	1	1
301	но все	2	1
302	комнате в	1	1
303	особую роль	1	1
304	здесь мы	1	1
305	им как	1	1
306	начинается словами	1	1
307	мечту о	1	1
308	то есть	3	1
309	дома и	2	1
310	к области	2	1
311	на свои	1	1
312	на уровне	1	1
313	достоевского и	1	1
314	в самую	2	1
315	этого персонажа	1	1
316	этого не	1	1
317	всю жизнь	1	1
318	которой он	1	1
319	он и	2	1
320	для чего	1	1
321	не мог	2	1
322	и еще	1	1
323	на мысль	1	1
324	в ходе	2	1
325	и при	1	1
326	взгляд на	1	1
327	наших дней	1	1
328	где мы	1	1
329	каторгу в	1	1
330	то для	1	1
331	человеком и	1	1
332	и цель	1	1
333	стало быть	1	1
334	одном из	2	1
335	но он	1	1
336	вырастает в	1	1
337	не могли	1	1
338	в конце	3	1
339	что сам	1	1
340	открывается в	1	1
341	теперь я	1	1
342	любовь к	1	1
343	я ей	1	1
344	раз и	2	1
345	и притом	1	1
346	что с	3	1
347	и начинает	1	1
