N	3gram	Savitsky_P_1	Problema
1	с точки зрения	3	11
2	в том что	4	8
3	с другой стороны	1	6
4	не только в	4	4
5	во всяком случае	1	4
6	в этом смысле	1	3
7	вместе с тем	1	3
8	и т д	1	3
9	в том виде	1	2
10	мы не будем	1	2
11	хотя бы и	1	2
12	сами по себе	3	2
13	тот или иной	1	2
14	в значительной мере	2	2
15	и в частности	1	2
16	только в виде	1	2
17	в каком смысле	1	2
18	для того чтобы	1	2
19	более или менее	1	2
20	заключается в том	2	2
21	и тем более	1	2
22	в то же	7	2
23	в сравнении с	3	2
24	далеко не все	1	1
25	по сравнению с	1	1
26	и не может	1	1
27	и в то	2	1
28	связана с другой	1	1
29	совершенно ясно что	1	1
30	том числе и	1	1
31	за то что	1	1
32	и потому в	2	1
33	и то что	1	1
34	в ней не	2	1
35	в этих двух	1	1
36	так же как	1	1
37	если бы мы	1	1
38	с одной стороны	3	1
39	история и жизнь	1	1
40	или что то	1	1
41	не в том	1	1
42	в том числе	2	1
43	само по себе	1	1
44	сливаются в одно	1	1
45	что то же	1	1
46	в известном смысле	1	1
47	и тем самым	1	1
48	в настоящее время	1	1
49	то что его	1	1
50	ни на какие	1	1
51	в ней только	1	1
52	именно потому что	1	1
53	в отдельности и	1	1
