N	3gram	Savitsky_E_1	FransuaR
1	то же время	14	9
2	в то же	15	9
3	для того чтобы	5	6
4	в том что	6	6
5	в этом отношении	3	5
6	но в то	2	5
7	в связи с	1	5
8	а также и	1	4
9	так же как	5	4
10	в том числе	1	4
11	как мы видели	2	4
12	связи с этим	1	3
13	и прежде всего	3	3
14	дело в том	1	2
15	в одной из	1	2
16	с точки зрения	16	2
17	в отличие от	1	2
18	том числе и	1	2
19	можно было бы	3	2
20	и не в	1	2
21	же как и	3	2
22	в данном случае	2	2
23	и с точки	1	2
24	в то время	1	2
25	не может быть	2	2
26	то есть в	1	2
27	можно сказать что	3	2
28	в большинстве случаев	2	2
29	хотя бы в	2	2
30	друг с другом	3	2
31	к тому же	1	2
32	также и в	1	2
33	и того же	1	1
34	не находим в	1	1
35	в стороне от	1	1
36	хотя и не	1	1
37	в той или	3	1
38	значение имеют в	1	1
39	на своем пути	1	1
40	из русской истории	1	1
41	и в то	8	1
42	некоторое время с	1	1
43	и та же	1	1
44	независимо от того	1	1
45	то что в	2	1
46	и чем больше	1	1
47	в значительной мере	1	1
48	мы видели что	1	1
49	не будет уже	1	1
50	за всех и	1	1
51	может быть и	1	1
52	и в частности	2	1
53	в значительной степени	1	1
54	в себе в	1	1
55	что в качестве	1	1
56	по своему характеру	2	1
57	во всех этих	1	1
58	в этом явлении	1	1
59	мы не находим	1	1
60	не имеет значения	1	1
61	мы находим у	1	1
62	мы не можем	1	1
63	так и в	2	1
64	человеческой культуры в	1	1
65	в свою очередь	2	1
66	одна и та	1	1
67	как одной из	1	1
68	о том насколько	1	1
69	той или иной	4	1
70	одного и того	1	1
71	друг от друга	2	1
72	же время в	1	1
73	в полной мере	1	1
74	а именно в	1	1
75	только тогда когда	1	1
76	именно потому что	1	1
77	и только в	2	1
