N	3gram	Medvedev_S_1	Myshleni
1	в том что	2	19
2	по отношению к	2	10
3	то же самое	1	6
4	только то что	1	2
5	в этой области	1	2
6	в связи с	1	2
7	как то что	1	1
8	в том и	1	1
9	о том как	1	1
10	друг от друга	1	1
11	на первый план	1	1
12	то что в	1	1
13	главным образом в	1	1
14	в его работах	1	1
15	по самому существу	1	1
16	в целом все	1	1
17	с одной стороны	1	1
18	и в этом	1	1
19	в лучшем случае	1	1
20	не может не	1	1
21	бы он ни	1	1
22	в конце концов	2	1
23	в настоящее время	1	1
24	как бы он	1	1
