N	3gram	Vinokur_Vv_1	NovoeSre
1	не может быть	8	4
2	подобно тому как	1	3
3	в средние века	1	3
4	не значит что	1	3
5	лицом к лицу	1	3
6	в этом смысле	10	2
7	что в нем	2	2
8	вместе с тем	3	2
9	так же как	1	2
10	с одной стороны	4	2
11	с другой стороны	5	2
12	когда мы говорим	1	2
13	вопрос о том	5	2
14	и того же	2	1
15	что в этом	2	1
16	только потому что	1	1
17	о природе и	1	1
18	вот почему о	1	1
19	одного и того	2	1
20	жизни и творчества	2	1
21	философской мысли но	1	1
22	как это было	1	1
23	до сих пор	5	1
24	в зависимости от	1	1
25	в отличие от	3	1
26	но и в	1	1
27	средние века но	1	1
28	о человеке и	1	1
29	и для того	1	1
30	и это есть	1	1
31	заключает в себе	1	1
32	можно было бы	3	1
33	не осталось ни	1	1
34	бы сказать что	1	1
35	и не в	1	1
36	было бы сказать	1	1
37	в том чтобы	5	1
38	вообще не существует	1	1
39	не только в	4	1
40	слова а не	1	1
41	и не могут	2	1
42	как будто бы	2	1
43	в известном смысле	3	1
44	не могут быть	2	1
45	не в том	2	1
46	в нем не	1	1
47	во всяком случае	3	1
48	лишь в том	1	1
49	смысле слова а	1	1
50	о том что	12	1
51	в значительной степени	1	1
52	имея в виду	1	1
53	том что нет	1	1
54	в этой системе	1	1
55	мы говорим о	1	1
56	в том что	12	1
57	того чтобы быть	1	1
