N	2gram	Bakhtin_fo_1	Marksizm
1	точки зрения	5	34
2	может быть	11	26
3	и не	14	26
4	не может	6	24
5	с точки	2	20
6	и в	50	19
7	и его	16	19
8	таким образом	11	17
9	в этом	25	16
10	как бы	2	15
11	в процессе	4	14
12	как мы	14	13
13	прежде всего	15	13
14	как и	8	12
15	если мы	2	11
16	так и	12	11
17	связи с	6	11
18	и для	4	11
19	самом деле	1	10
20	в нем	24	10
21	и т.п	4	10
22	в самом	8	10
23	лишь в	6	9
24	только в	4	9
25	для него	2	9
26	в результате	6	9
27	на материале	2	8
28	все же	6	8
29	не только	9	8
30	без исключения	1	8
31	при этом	3	8
32	друг друга	3	8
33	до сих	3	8
34	но и	8	8
35	сих пор	3	8
36	то что	6	8
37	во всех	6	7
38	в ее	6	7
39	точка зрения	1	7
40	но в	10	7
41	психологии и	1	7
42	все эти	9	7
43	и те	3	7
44	то же	11	7
45	в каждом	1	7
46	а не	3	7
47	в связи	5	7
48	так же	6	7
49	отнюдь не	5	6
50	кроме того	4	6
51	так сказать	7	6
52	мы не	3	6
53	и того	6	6
54	ничего не	9	6
55	в пределах	5	6
56	и здесь	1	6
57	в его	13	6
58	на почве	2	6
59	в том	9	6
60	является не	1	6
61	с помощью	2	6
62	в основном	5	6
63	того же	8	6
64	отличие от	2	5
65	конечно не	4	5
66	по преимуществу	3	5
67	входит в	3	5
68	рядом с	2	5
69	одного и	5	5
70	в отличие	2	5
71	не в	5	5
72	необходимо чтобы	2	5
73	того чтобы	5	5
74	те же	2	5
75	и все	6	5
76	этот вопрос	1	5
77	ясно что	2	5
78	в начале	3	5
79	в конце	9	5
80	вовсе не	13	5
81	с другой	2	5
82	именно в	3	5
83	до конца	4	5
84	и потому	3	5
85	хотя бы	2	5
86	к этому	3	5
87	во всяком	3	5
88	вопрос о	2	4
89	и на	8	4
90	нет и	2	4
91	как в	6	4
92	выражение в	2	4
93	и тот	1	4
94	лишь с	1	4
95	здесь мы	1	4
96	было бы	2	4
97	не столько	1	4
98	по себе	2	4
99	в отношении	3	4
100	самого начала	2	4
101	не является	2	4
102	в ней	4	4
103	с самого	2	4
104	еще не	5	4
105	только на	3	4
106	для того	5	4
107	этой проблемы	2	4
108	далеко не	2	4
109	с этим	6	4
110	в данном	2	4
111	в условиях	7	4
112	вне его	2	4
113	тот же	1	4
114	а в	3	4
115	жизни в	8	4
116	между ними	3	4
117	и эта	2	4
118	сказать что	3	4
119	что в	5	4
120	формы и	3	3
121	он может	1	3
122	и есть	1	3
123	между двумя	6	3
124	не имеют	3	3
125	высшей степени	1	3
126	а как	3	3
127	теперь мы	1	3
128	в сущности	3	3
129	в большинстве	1	3
130	физическое тело	1	3
131	по отношению	3	3
132	в истории	2	3
133	и как	10	3
134	и к	2	3
135	ее целом	2	3
136	в которой	2	3
137	к другому	2	3
138	этот процесс	5	3
139	в корне	1	3
140	но все	5	3
141	его в	3	3
142	он не	5	3
143	в высшей	1	3
144	том что	4	3
145	места в	2	3
146	в своей	2	3
147	и ее	3	3
148	не становится	1	3
149	в котором	4	3
150	более того	3	3
151	мы говорили	3	3
152	место в	2	3
153	речи в	2	3
154	в то	9	3
155	все без	1	3
156	не имеет	4	3
157	же время	9	3
158	этом отношении	3	3
159	не могут	3	3
160	должны быть	1	3
161	и это	4	3
162	вне этого	1	3
163	не существует	1	3
164	в дальнейшем	6	3
165	и ту	1	3
166	понятно что	4	3
167	т.п в	1	3
168	с другими	3	3
169	здесь в	2	3
170	и следовательно	4	3
171	того что	2	3
172	быть и	2	3
173	одной из	3	3
174	из них	1	3
175	момент в	2	3
176	или иной	2	3
177	в каком	2	3
178	не было	7	3
179	все это	4	3
180	смысле этого	1	3
181	и формы	1	3
182	слова и	2	3
183	этом случае	1	3
184	и от	1	3
185	нет ничего	4	3
186	внешнего выражения	1	3
187	она может	1	3
188	слово в	1	3
189	и при	1	3
190	совершенно не	2	3
191	мы должны	2	3
192	всех других	1	3
193	вполне понятно	4	3
194	ту же	2	2
195	нем нет	2	2
196	одним из	1	2
197	же как	2	2
198	связана с	1	2
199	все остальное	1	2
200	по которым	1	2
201	в какой-то	3	2
202	мы уже	11	2
203	той же	2	2
204	со всех	1	2
205	не приходится	1	2
206	этим определяется	1	2
