N	2gram	Potebnia_M_2	NovoeSre
1	а не	18	17
2	и в	24	16
3	не может	12	16
4	совсем не	2	12
5	и не	19	11
6	и есть	2	10
7	что в	16	9
8	как не	3	8
9	в том	18	8
10	жизни и	1	8
11	он не	1	8
12	в этом	8	7
13	может быть	23	7
14	не будет	1	7
15	как и	7	7
16	это есть	1	7
17	с его	2	6
18	не в	13	6
19	ни в	1	6
20	никогда не	4	6
21	лишь в	1	6
22	но это	3	6
23	должен быть	1	5
24	в ней	3	5
25	не только	15	5
26	в жизни	2	5
27	все это	2	5
28	в нем	9	5
29	со всех	1	4
30	не во	2	4
31	быть может	7	4
32	о том	5	4
33	всех сторон	1	4
34	наше время	1	4
35	перестает быть	2	4
36	в них	5	4
37	то что	20	4
38	это не	3	4
39	прежде всего	7	4
40	не было	6	4
41	должно быть	2	4
42	и потому	2	4
43	значит что	1	4
44	не менее	5	4
45	и для	3	4
46	не имеет	6	4
47	и все	3	4
48	потому что	49	4
49	с другой	6	3
50	в ее	1	3
51	должна быть	1	3
52	вопрос о	2	3
53	человека и	3	3
54	еще не	4	3
55	во всех	7	3
56	за пределы	2	3
57	в истории	1	3
58	как в	10	3
59	духа и	1	3
60	конечно не	1	3
61	к ним	1	3
62	подобно тому	4	3
63	перейти к	1	3
64	но и	9	3
65	это было	2	3
66	не есть	6	3
67	стремится к	1	3
68	с тем	4	3
69	тому как	4	3
70	что такое	2	3
71	в наше	1	3
72	к ее	1	3
73	к тому	1	3
74	сказать что	2	3
75	которых не	1	2
76	и это	2	2
77	время как	4	2
78	не имеют	2	2
79	так и	5	2
80	времени и	1	2
81	мы не	11	2
82	и с	1	2
83	стремление к	2	2
84	будет уже	1	2
85	но она	3	2
86	и что	4	2
87	и на	8	2
88	быть в	1	2
89	времени в	1	2
90	и большая	1	2
91	но не	12	2
92	жизни все	1	2
93	с этим	7	2
94	помнить что	3	2
95	хотя и	3	2
96	но в	4	2
97	который в	1	2
98	в обществе	2	2
99	все эти	2	2
100	с одной	4	2
101	думать что	3	2
102	с их	1	2
103	есть в	2	2
104	в себе	10	2
105	уже не	4	2
106	не к	1	2
107	том чтобы	1	2
108	у него	2	2
109	что она	3	2
110	что все	2	2
111	связаны с	1	2
112	этом смысле	2	2
113	в природе	5	2
114	зависит от	2	2
115	для чего	1	2
116	том что	8	2
117	вместе с	11	2
118	так же	2	2
119	мы говорим	3	2
