N	3gram	Bakhtin_Fr_3	TeoriaLi
1	по отношению к	2	8
2	в отличие от	3	7
3	в том что	1	6
4	то же время	6	6
5	в то же	6	6
6	в данном случае	2	5
7	с другой стороны	1	3
8	можно сказать что	2	3
9	в свою очередь	1	3
10	той или иной	2	3
11	что в основе	1	2
12	с точки зрения	1	2
13	войне и мире	1	2
14	тех или иных	1	2
15	не может быть	2	2
16	как и в	2	2
17	это делает например	1	1
18	и в сущности	1	1
19	том что в	1	1
20	в той или	2	1
21	дело в том	1	1
22	по ту сторону	1	1
23	имеем в виду	1	1
24	подобно тому как	1	1
25	в настоящее время	1	1
26	в том числе	3	1
27	в этом случае	1	1
28	как это делает	1	1
29	одним из древнейших	1	1
30	в таких случаях	1	1
31	бы то ни	1	1
32	только то что	1	1
33	том числе и	2	1
34	в основе своей	1	1
35	и др в	1	1
36	может быть и	1	1
37	как раз в	2	1
38	и свободы но	1	1
39	в значительной степени	2	1
40	то что может	1	1
41	об этом так	1	1
42	в первом случае	1	1
43	то ни было	1	1
44	таким образом и	1	1
45	что в отличие	1	1
46	и в этой	1	1
47	шире и глубже	3	1
48	в связи с	4	1
49	своей причастности к	1	1
50	жизни то есть	1	1
51	в нашем примере	3	1
52	имея в виду	1	1
53	это и есть	1	1
54	о том что	2	1
55	включает в себя	1	1
56	отношение к объекту	1	1
57	и прежде всего	3	1
58	но в то	4	1
59	мы имеем в	1	1
60	в данном контексте	1	1
61	для того чтобы	3	1
62	и здесь остается	1	1
