1	в то же время	3	5
2	состоит в том что	2	4
3	одного и того же	1	3
4	и не могло быть	1	2
5	говорит и как говорит	1	1
6	как это бывает в	1	1
7	мы имеем дело не	1	1
8	точно так же как	2	1
9	было и не могло	1	1
10	обращает на себя внимание	3	1
11	в том что в	1	1
12	что они хотят и	1	1
13	по своей природе суть	1	1
14	то что они хотят	1	1
15	и позволяет говорить о	1	1
16	что в отличие от	1	1
17	бы то ни было	3	1
18	присутствия в мире на	1	1
19	дело в том что	1	1
20	у себя в комнате	1	1
21	не что иное как	2	1
22	мира вокруг я героя	1	1
23	не может быть и	1	1
24	участок текста характеризующийся единством	1	1
25	природе суть то что	1	1
26	бахтина облекается в молчание	1	1
27	не было и не	1	1
28	кто говорит и как	1	1
29	и в то же	1	1
30	есть не что иное	1	1
31	в той или иной	2	1
32	в том или ином	2	1
33	том или ином отношении	1	1
34	своей природе суть то	1	1
35	они хотят и свершают	1	1
36	той мере в какой	1	1
37	во втором эпизоде в	1	1
38	во всей его полноте	1	1
39	в том числе и	4	1
40	в тексте может быть	1	1
41	в литературе нового времени	1	1
42	следует иметь в виду	1	1
43	не могли бы быть	1	1
44	мы имеем дело с	1	1
45	суть то что они	1	1
46	в организации кадров внутреннего	1	1
47	организации кадров внутреннего зрения	1	1
48	как уже говорилось выше	1	1
49	в той мере в	1	1
