1	с точки зрения	3	5
2	не может быть	2	4
3	по отношению к	8	3
4	с самого начала	1	2
5	того или иного	2	2
6	автора героя и	2	2
7	ничего общего с	1	2
8	чем иным как	1	2
9	в том что	6	2
10	с одной стороны	1	2
11	в полном соответствии	1	2
12	в данном случае	1	2
13	в самом деле	4	2
14	полном соответствии с	1	2
15	не чем иным	1	2
16	к тому что	4	1
17	по себе а	1	1
18	а также и	1	1
19	в узком смысле	1	1
20	в отличие от	1	1
21	сказал что они	1	1
22	тем не менее	3	1
23	является не чем	1	1
24	в связи с	3	1
25	или иного конкретного	1	1
26	том что в	2	1
27	можно было бы	4	1
28	чтение про себя	1	1
29	которым можно было	1	1
30	в этом отношении	3	1
31	состоит в том	1	1
32	то же самое	1	1
33	прежде всего в	1	1
34	более или менее	1	1
35	в то же	8	1
36	узком смысле слова	1	1
37	тому что он	2	1
38	на самом деле	1	1
39	то же время	8	1
40	с этой точки	1	1
41	ту или иную	2	1
42	если говорить о	2	1
43	отношению к другим	1	1
44	та или иная	3	1
45	в конечном счете	2	1
46	что ведь и	1	1
47	на то что	2	1
48	как и в	3	1
49	но в то	3	1
50	не только на	1	1
51	только потому что	2	1
52	этой точки зрения	1	1
53	в науке о	1	1
54	в этот момент	1	1
