N	3gram	Propp_Morf_1	Analitik
1	не может быть	9	16
2	в том что	3	9
3	по отношению к	4	5
4	с точки зрения	2	4
5	о том что	1	3
6	состоит в том	2	3
7	подобно тому как	5	3
8	в таком случае	1	3
9	бы то ни	3	3
10	для того чтобы	2	3
11	то ни было	2	3
12	с одной стороны	1	3
13	ни в коем	1	2
14	в этом отношении	1	2
15	в коем случае	1	2
16	в данном случае	1	2
17	далеко не всегда	1	2
18	в первом случае	3	2
19	не могут быть	2	2
20	с другой стороны	4	2
21	в том или	1	2
22	коем случае не	1	2
23	тех или иных	1	2
24	том что он	1	2
25	самом деле в	1	1
26	это не всегда	1	1
27	в е годы	1	1
28	оно может быть	2	1
29	а вовсе не	1	1
30	более или менее	2	1
31	а н веселовский	1	1
32	он может быть	2	1
33	о том как	1	1
34	как будто не	2	1
35	герой волшебной сказки	1	1
36	в частности как	1	1
37	до сих пор	1	1
38	во всей своей	1	1
39	том случае если	1	1
40	в том случае	1	1
41	как мы увидим	4	1
42	в собственном смысле	3	1
43	а в качестве	1	1
44	в противном случае	1	1
45	одно и то	1	1
46	не ощущается как	1	1
47	здесь мы имеем	1	1
48	на первый взгляд	3	1
49	и то же	1	1
50	живой язык есть	1	1
51	она может быть	1	1
52	собственном смысле слова	3	1
53	во всяком случае	2	1
54	могут быть зафиксированы	1	1
55	что же касается	1	1
56	далеко не все	3	1
57	а затем уже	1	1
58	но никто не	1	1
59	может быть определено	1	1
60	но то что	1	1
61	между тем в	1	1
62	или во всяком	1	1
63	мы имеем в	1	1
64	во втором случае	1	1
65	в связи с	8	1
66	к тому что	3	1
67	и таким образом	2	1
68	друг с другом	1	1
69	дело не в	2	1
70	в отдельных случаях	3	1
71	и как будто	1	1
72	как и в	2	1
73	здесь как и	1	1
