N	3gram	Losev_Dial_4	Marksizm
1	с точки зрения	9	13
2	не может быть	6	10
3	то же время	6	8
4	в то же	6	8
5	в связи с	1	7
6	для того чтобы	5	6
7	в том что	9	6
8	но в то	2	5
9	в свою очередь	2	5
10	в отношении к	1	4
11	той или иной	1	4
12	самом же деле	1	3
13	и не может	1	3
14	в отличие от	1	3
15	на самом же	1	3
16	и не в	1	3
17	о том что	1	3
18	лежащая в основе	1	3
19	и пр но	1	2
20	а не в	1	2
21	в зависимости от	1	2
22	ни в коем	2	2
23	не было бы	1	2
24	в собственном смысле	2	2
25	по крайней мере	7	2
26	в коем случае	2	2
27	лежит в основе	3	2
28	мы можем сказать	1	2
29	хотя бы в	1	2
30	в нем нет	1	2
31	на то что	3	2
32	и прежде всего	1	2
33	что иное как	8	1
34	вполне понятно что	1	1
35	из всего этого	1	1
36	прямо сказать что	1	1
37	ровно ничего не	6	1
38	все это –	4	1
39	не в их	1	1
40	дело в том	1	1
41	не говоря уже	3	1
42	можно говорить лишь	1	1
43	точки зрения в	1	1
44	в этом случае	1	1
45	и неотделим от	1	1
46	он не может	1	1
47	в сущности только	1	1
48	говоря уже о	3	1
49	этого совершенно не	1	1
50	– так можно	1	1
51	сам по себе	2	1
52	есть в сущности	2	1
53	в той же	1	1
54	нем нет никакого	1	1
55	рано или поздно	1	1
56	нет ничего что	1	1
57	а эти последние	1	1
58	принимая во внимание	1	1
59	так или иначе	1	1
60	но тем не	1	1
61	уже о том	2	1
62	был бы не	1	1
63	и не имеет	1	1
64	не только его	1	1
65	исходит из определенного	1	1
66	в данный момент	2	1
67	не только в	1	1
68	значением в отличие	1	1
69	в сущности это	1	1
70	по сравнению с	2	1
71	тем не менее	2	1
72	пределу – к	1	1
73	в свою основу	1	1
74	в течение веков	1	1
75	само по себе	4	1
76	можно прямо сказать	1	1
77	с другой стороны	1	1
78	это не есть	4	1
79	что же такое	1	1
80	по себе а	1	1
81	коем случае не	2	1
82	то или иное	3	1
83	что это –	1	1
84	в себе не	1	1
85	с тем что	1	1
86	и тем более	4	1
87	ни одна из	1	1
88	не имеет значения	1	1
89	не что иное	8	1
90	но все же	1	1
91	можно сказать что	1	1
92	друг от друга	1	1
93	есть прежде всего	3	1
94	теперь мы можем	2	1
95	никакого отношения к	2	1
96	но также и	1	1
97	не дает возможности	1	1
98	но что он	1	1
99	мы только что	1	1
100	с той или	1	1
101	можем сказать что	1	1
102	и все его	1	1
103	в жизни и	1	1
104	отношении к нему	1	1
