N	2gram	Medvedev_I_1	KulturaY
1	и в	1	23
2	в этом	2	16
3	что в	2	13
4	для того	1	12
5	того чтобы	1	11
6	того что	1	11
7	и не	2	10
8	если бы	1	8
9	все эти	1	7
10	с другой	1	7
11	говорить о	1	6
12	так и	1	6
13	ничего не	2	6
14	я не	1	5
15	тем что	1	5
16	а в	1	5
17	того же	1	4
18	тех же	1	4
19	в целом	1	4
20	и о	1	4
21	а также	1	4
22	не случайно	1	4
23	по отношению	1	3
24	очевидно что	1	3
25	он не	2	3
26	в первую	1	3
27	и с	3	3
28	не так	1	3
29	как о	1	3
30	могло бы	1	3
31	а с	1	3
32	первую очередь	1	3
33	по существу	1	3
34	другой стороны	1	3
35	по поводу	1	3
36	отношению к	1	2
37	более чем	1	2
38	и тот	1	2
39	же это	1	2
40	и без	1	2
41	то и	1	2
42	не дает	1	2
43	так то	1	2
44	только что	1	2
45	только для	1	2
46	все это	1	2
47	и ничего	1	1
48	бы что	2	1
49	нам в	1	1
50	и идей	1	1
51	это был	1	1
52	не сомневаюсь	1	1
53	какую роль	1	1
54	пушкина и	1	1
55	дает и	1	1
56	другое дело	1	1
57	доказательство того	1	1
58	ничего в	1	1
59	а отсюда	1	1
60	в основе	1	1
61	это пушкин	1	1
62	никогда не	1	1
63	знакомство с	1	1
64	все тех	1	1
65	сомневаюсь что	1	1
66	а если	1	1
67	и др	1	1
68	точно и	1	1
69	для него	1	1
70	и со	1	1
71	бы все	1	1
72	что для	1	1
73	а по	1	1
74	слишком много	1	1
75	в эту	1	1
