N	2gram	Nazirov_Vr_1	EvropaiC
1	таким образом	2	32
2	в том	3	31
3	и в	8	24
4	том что	3	20
5	не может	2	18
6	то что	7	17
7	все же	6	15
8	может быть	4	15
9	точки зрения	2	13
10	в этом	8	12
11	сих пор	1	12
12	до сих	1	12
13	в своем	3	12
14	между тем	5	11
15	с этим	1	11
16	все это	4	11
17	так и	1	10
18	во всех	1	10
19	мы знаем	2	10
20	все что	1	10
21	как бы	4	10
22	как и	6	9
23	на то	3	9
24	того же	1	9
25	что в	7	9
26	при этом	4	9
27	так же	4	8
28	и все	7	8
29	ясно что	1	8
30	чем у	1	8
31	в самом	1	8
32	с точки	2	8
33	о том	4	7
34	о котором	1	7
35	не менее	2	7
36	а между	1	7
37	по своей	1	7
38	и не	5	7
39	из этого	1	7
40	в силу	1	7
41	но и	7	7
42	и что	8	7
43	что он	4	7
44	еще не	2	6
45	тогда как	2	6
46	отличается от	1	6
47	как на	1	6
48	с ним	4	6
49	вместе с	2	6
50	того что	1	6
51	в этой	2	6
52	в мире	2	6
53	несмотря на	4	6
54	с другой	1	6
55	в себе	2	5
56	и с	6	5
57	не будет	1	5
58	и их	1	5
59	что это	1	5
60	у него	5	5
61	его в	3	5
62	к этому	3	5
63	потому что	1	5
64	и от	1	5
65	тому же	1	5
66	в целом	1	5
67	в то	5	5
68	по своему	1	5
69	другой стороны	1	5
70	в его	3	5
71	именно в	1	5
72	как к	1	5
73	из всех	1	5
74	далеко не	3	5
75	быть и	1	5
76	но в	6	5
77	столь же	2	5
78	не только	9	5
79	одним из	3	4
80	в в	2	4
81	связи с	3	4
82	что эта	1	4
83	в конце	3	4
84	отношение к	2	4
85	в их	1	4
86	в таком	1	4
87	конце концов	1	4
88	никогда не	2	4
89	хотя и	1	4
90	то же	5	4
91	из которых	1	4
92	а с	2	4
93	тем не	1	4
94	и т.д	1	4
95	всех этих	1	4
96	том же	2	4
97	выше и	1	4
98	в одну	2	4
99	что как	1	4
100	он не	3	4
101	и то	2	4
102	и у	3	4
103	из них	2	4
104	не есть	1	4
105	каждый из	1	3
106	бы в	1	3
107	для нас	4	3
108	и наконец	1	3
109	в связи	3	3
