N	2gram	Bakhtin_KF_1	TeoriaLi
1	в мире	6	24
2	не только	5	18
3	в качестве	2	17
4	и не	26	16
5	я в	1	16
6	а в	4	14
7	и в	24	13
8	то есть	1	12
9	так и	2	12
10	может быть	45	12
11	в этом	14	11
12	при этом	4	11
13	в том	6	11
14	но не	12	10
15	и его	17	10
16	а не	17	10
17	то же	5	9
18	в его	40	9
19	по отношению	26	8
20	сводится к	2	8
21	в душе	1	8
22	но и	9	8
23	отношению к	22	8
24	что в	4	8
25	в себе	21	7
26	том что	4	7
27	точки зрения	12	7
28	в то	3	7
29	по своей	1	7
30	во второй	1	7
31	только в	16	7
32	себя в	8	7
33	как это	1	7
34	в данном	2	7
35	эстетическая деятельность	1	6
36	еще не	4	6
37	с его	1	6
38	но в	5	6
39	в первой	1	6
40	лишь в	8	6
41	место в	5	6
42	же время	2	6
43	картина мира	1	6
44	как бы	9	6
45	мы имеем	5	5
46	жизни как	5	5
47	в своем	16	5
48	в самом	1	5
49	он не	6	5
50	в принципе	2	5
51	того или	3	5
52	как и	5	5
53	я есть	1	5
54	не в	12	5
55	тем самым	4	5
56	в нем	28	5
57	в ее	16	5
58	или иной	2	5
59	между тем	4	5
60	уже не	7	5
61	как в	2	5
62	или иного	3	5
63	я с	1	5
64	в искусстве	1	5
65	между ними	1	5
66	говорить о	2	4
67	конечном счете	1	4
68	отношение к	5	4
69	субъекта и	1	4
70	хотя и	1	4
71	то что	7	4
72	ни в	12	4
73	в своей	10	4
74	в их	8	4
75	не менее	3	4
76	приводит к	1	4
77	можно сказать	1	4
78	в конечном	1	4
79	и ее	2	4
80	но он	1	4
81	и т.п	1	4
82	мира и	4	4
83	в свою	3	4
84	не знает	5	4
85	не может	27	4
86	и то	2	3
87	совпадает с	1	3
88	а только	1	3
89	и т.д	2	3
90	в акте	3	3
91	и к	1	3
92	все эти	10	3
93	в нашем	1	3
94	в этой	2	3
95	он должен	1	3
96	и по	1	3
97	его в	5	3
98	этом смысле	3	3
99	мог бы	1	3
100	в единое	2	3
101	в этих	1	3
102	художественного творчества	1	3
103	тем не	2	3
104	в отношении	1	3
105	никогда не	5	3
106	как раз	1	3
107	потому что	2	3
108	лирический герой	1	3
109	той или	3	3
110	ценностного центра	4	3
111	свою очередь	1	3
112	в другом	3	3
113	входит в	3	3
114	того что	3	3
115	а с	2	3
116	для него	8	3
117	слова в	2	3
118	с ее	2	3
119	на почве	1	3
120	эстетического созерцания	5	3
121	причастности к	1	3
122	именно в	5	3
123	и др	1	3
124	нового времени	1	3
125	прежде всего	2	3
126	в соответствии	2	3
127	его эстетической	1	3
128	и потому	2	3
129	по своему	3	3
130	этого слова	2	3
131	мира в	6	3
132	или в	1	3
133	в основе	5	3
134	ни к	2	3
135	отношении к	2	3
136	я и	2	2
137	была бы	1	2
138	отношения к	1	2
139	того же	1	2
140	и это	12	2
141	это и	2	2
142	мире можно	1	2
143	я как	1	2
144	я не	6	2
145	в целом	10	2
146	во мне	3	2
147	в чем	4	2
148	и мира	1	2
149	но как	5	2
150	свою жизнь	2	2
151	его я	1	2
152	данный момент	3	2
153	ценностный центр	2	2
154	как к	2	2
155	в противном	1	2
156	и как	2	2
157	видения мира	1	2
158	в которой	1	2
159	образом и	1	2
160	противном случае	1	2
161	этом мире	2	2
162	не следует	1	2
163	здесь мы	4	2
164	могла бы	4	2
165	об этом	1	2
166	это не	10	2
167	и иных	1	2
168	и тем	3	2
169	соответствии с	2	2
170	вовсе не	7	2
171	и того	2	2
172	одного и	1	2
173	с точки	9	2
174	от себя	10	2
175	к такой	1	2
176	их в	1	2
177	по себе	2	2
178	для меня	20	2
179	дело не	2	2
180	не могло	1	2
181	только не	1	2
182	мышления и	2	2
183	вытекает из	2	2
184	и для	9	2
185	места для	1	2
186	вокруг него	2	2
187	имеет место	1	2
188	моя жизнь	1	2
189	и о	1	2
190	заданности и	1	2
191	здесь не	3	2
192	в себя	7	2
193	что может	1	2
194	не с	1	2
195	к его	1	2
196	если бы	8	2
197	в виду	3	2
198	и здесь	7	2
199	о том	3	2
200	к действительности	1	2
201	это было	2	2
202	к нему	12	2
203	во всех	11	2
204	во втором	1	2
205	в литературе	1	2
206	к смыслу	1	2
207	мире и	1	2
208	эстетической деятельности	1	2
209	в большинстве	1	2
210	или иным	2	2
211	во всей	4	2
212	автора как	2	2
213	и даже	1	2
214	со стороны	7	2
215	в данный	3	2
216	в области	2	2
217	а именно	1	2
218	себя и	2	2
219	человеческой жизни	1	2
220	вместе с	1	2
221	жизни но	3	2
222	из которых	2	2
223	могут быть	3	2
224	при условии	2	2
225	эстетического субъекта	1	2
226	к тому	1	2
227	совершенно иной	1	2
228	жизни в	5	2
229	одной из	1	2
