N	3gram	Tiupa_Narr_1	KFilosof
1	по отношению к	3	21
2	не может быть	4	11
3	с точки зрения	1	10
4	на самом деле	1	3
5	но и здесь	1	3
6	к нему в	1	3
7	в соответствии с	4	2
8	бы то ни	1	2
9	есть на самом	1	2
10	то ни было	1	2
11	один и тот	1	2
12	то же время	4	2
13	той или иной	4	2
14	в то же	4	2
15	тем не менее	3	2
16	в том что	5	2
17	а не в	1	2
18	и тот же	1	2
19	ни о каких	1	1
20	а во втором	2	1
21	это уже не	1	1
22	на то что	2	1
23	никогда не было	1	1
24	и совершенно не	1	1
25	потому что в	1	1
26	и того же	1	1
27	что и для	1	1
28	он не может	1	1
29	как если бы	2	1
30	не было и	2	1
31	не подлежит сомнению	1	1
32	в зависимости от	2	1
33	тем или иным	2	1
34	и та же	1	1
35	вследствие того что	1	1
36	отношение к ценности	1	1
37	не само по	1	1
38	она может быть	1	1
39	случае мы имеем	1	1
40	и то что	1	1
41	и как бы	1	1
42	может быть и	1	1
43	и в то	1	1
44	в первом случае	3	1
45	не мог стать	1	1
46	в известном смысле	2	1
47	в том случае	1	1
48	как и на	1	1
49	всю свою жизнь	1	1
50	в нем не	1	1
51	дело в том	2	1
52	во всяком случае	2	1
53	одна и та	1	1
54	для того чтобы	3	1
55	бы не было	1	1
56	и всякий другой	1	1
57	и все же	2	1
58	я в мире	1	1
59	по себе а	1	1
60	но для того	1	1
61	мы не можем	1	1
62	в значительной степени	1	1
63	и на чем	1	1
64	в свою очередь	2	1
65	само по себе	1	1
66	жизни и смерти	1	1
67	и тем самым	4	1
68	в конечном счете	1	1
69	но в этом	1	1
70	но и от	2	1
71	одного и того	1	1
72	если бы не	1	1
73	в этом последнем	1	1
74	к тому что	1	1
75	не о том	1	1
76	не только от	2	1
77	во всех его	1	1
78	а в самом	1	1
79	то же самое	2	1
80	уже не только	1	1
