N	3gram	Tiupa_Vved_1	Narrotol
1	в том что	3	8
2	с одной стороны	5	7
3	о том что	4	6
4	по отношению к	7	6
5	в том числе	1	6
6	в отличие от	2	5
7	не может быть	3	5
8	времени и пространстве	1	5
9	том числе и	1	4
10	в основе своей	1	4
11	в данном случае	6	4
12	все же не	1	4
13	к тому же	4	4
14	с другой стороны	1	4
15	той или иной	2	4
16	можно сказать что	1	4
17	во времени и	1	4
18	состоит в том	2	3
19	в этом отношении	4	3
20	как будто он	1	3
21	тем не менее	3	3
22	и тем самым	2	3
23	то же время	3	3
24	в свою очередь	4	3
25	в то же	4	3
26	коммуникативного события рассказывания	2	3
27	его событийной полноте	1	2
28	что иное как	1	2
29	нарративный дискурс в	1	2
30	присутствия в мире	2	2
31	в той или	1	2
32	мы имеем дело	3	2
33	а не в	1	2
34	более или менее	2	2
35	в том или	1	2
36	подобно тому как	2	2
37	так и не	1	2
38	в рассказе о	1	2
39	в таком случае	1	2
40	сами по себе	1	2
41	свидетель и судия	2	2
42	можно было бы	2	2
43	тогда как в	1	2
44	в значительной степени	1	2
45	не что иное	1	2
46	могло произойти по-другому	1	2
47	в первом случае	1	2
48	не только в	2	2
49	и представляет собой	2	2
50	на первый взгляд	1	2
51	представляет собой не	1	2
52	в связи с	1	2
53	в этом ряду	2	2
54	при всей своей	2	2
55	в его событийной	1	2
56	то есть в	1	2
57	в конечном счете	1	2
58	речь идет о	1	2
59	по сути дела	1	2
60	эпизода к эпизоду	1	2
61	не сводится к	4	2
62	том или ином	1	2
63	здесь не в	1	2
64	от эпизода к	1	2
65	нового эпизода достаточно	1	1
66	для современной нарратологии	1	1
67	по своей природе	2	1
68	и того же	1	1
69	нераздельности но одновременно	1	1
70	чтобы стать логикой	1	1
71	мы можем обозначить	1	1
72	то она определяется	1	1
73	к своему герою	1	1
74	эту полноту в	1	1
75	никогда не было	1	1
76	от донарративных структур	1	1
77	нами два события	1	1
78	это то что	1	1
79	и в тэрнера	1	1
80	и рецептивного сознаний	1	1
81	его полноте цельный	1	1
82	разность составляющих ее	1	1
83	всех без исключения	1	1
84	что могло произойти	1	1
85	себя мир в	1	1
86	воспринимаем эту полноту	1	1
87	событийного ряда возбуждающем	1	1
88	а не с	1	1
89	между жизнью и	1	1
90	рассказа о ней	1	1
91	состояние не поддается	1	1
92	как и для	1	1
93	внутри себя мир	1	1
94	которая может быть	1	1
95	и главное действующее	1	1
96	в этом ракурсе	1	1
97	переход от донарративных	1	1
98	как бы не	1	1
99	составляющих ее моментов	1	1
100	своего рода общий	1	1
101	обозначить как произведение	1	1
102	коммуникативном событии рассказывания	1	1
103	рассказывания в этом	1	1
104	последнем мы и	1	1
105	природной неизбежности или	1	1
106	на самом деле	3	1
107	в этом последнем	1	1
108	был его иметь	1	1
109	на разных местах	1	1
110	действующее лицо события	2	1
111	происходят в разные	1	1
112	в этом смысле	1	1
113	речи хотя и	1	1
114	данной сферы общения	1	1
115	из природной неизбежности	1	1
116	в равной степени	1	1
117	с повествовательной традицией	1	1
118	то же самое	1	1
119	границы между жизнью	1	1
120	в том же	1	1
121	к схематизму повествования	1	1
122	картина мира которая	1	1
123	этом последнем мы	1	1
124	слушатели-читатели события эти	1	1
125	который имел место	1	1
126	полноте цельный внутри	1	1
127	начала и конца	1	1
128	что у нее	1	1
129	в маркированном положении	3	1
130	нельзя признать вполне	1	1
131	по крайней мере	1	1
132	не было и	1	1
133	вследствие чего открывается	1	1
134	к двойной структуре	1	1
135	в разные времена	1	1
136	и событие самого	1	1
137	в едином но	1	1
138	и в то	1	1
139	к закрепленным в	1	1
140	до известной степени	1	1
141	факт который имел	1	1
142	как произведение в	1	1
143	мы и сами	2	1
144	семантической границы между	1	1
145	не входит в	1	1
146	разные времена различные	1	1
147	по длительности и	1	1
148	мир в совокупном	1	1
149	и на разных	1	1
150	события эти происходят	1	1
151	обратиться к закрепленным	1	1
152	структуре конфигурирующей операции	1	1
153	к тому или	1	1
154	по аналогии с	1	1
155	умирающего и воскресающего	1	1
156	неизбежности или социальной	1	1
157	бытия нуждалась в	1	1
158	всей его полноте	1	1
159	должна обратиться к	1	1
160	к тому чтобы	1	1
161	этому схематизму действие	1	1
162	этнографии терминологией а	1	1
163	событие о котором	1	1
164	жизни то есть	1	1
165	но это не	1	1
166	ван геннепа и	1	1
167	рецептивного сознания адресата	1	1
168	в той мере	2	1
169	или иной степени	1	1
170	полноту в ее	1	1
171	в ее целостности	1	1
172	событий процессов состояний	1	1
173	а то и	2	1
174	облекается в молчание	1	1
175	во всей его	1	1
176	тому же в	1	1
177	не должен был	1	1
178	схематизму действие может	1	1
179	появляется в связи	1	1
180	должен был его	1	1
181	и нераздельности но	1	1
182	будучи непосредственной формой	1	1
183	собой не что	1	1
184	может быть только	1	1
185	новое состояние не	1	1
186	разных местах и	1	1
187	в качестве свидетеля	1	1
188	же время они	1	1
189	произведении и событие	1	1
190	но представляет собой	1	1
191	а ван геннепа	1	1
192	рода общий знаменатель	1	1
193	в следующей фразе	1	1
194	но сложном событии	1	1
195	не могло быть	1	1
196	различные и по	1	1
197	конфигурациям к схематизму	1	1
198	времена различные и	1	1
199	главное действующее лицо	2	1
200	своего рода механизмом	1	1
201	состоит в напряжении	1	1
202	человеческой жизни в	1	1
203	нарратора и персонажа	2	1
204	а не только	1	1
205	содержит в себе	1	1
206	в рамках которого	1	1
207	подтверждает нашу мысль	1	1
208	длительности и на	1	1
209	обратимся к рассказу	1	1
210	мифов-нарраций никогда не	1	1
211	в этнографии терминологией	1	1
212	лицо события свидетель	2	1
213	местах и в	1	1
214	благодаря этому схематизму	1	1
215	терминологией а ван	1	1
216	дело не с	1	1
217	пересечение семантической границы	1	1
218	структур реального действия	1	1
219	максимуме его признаков	1	1
220	не поддается аннулированию	1	1
221	которого движется действие	1	1
222	достаточно одного из	1	1
223	и воскресающего бога	1	1
224	место хотя не	1	1
225	или социальной ритуальности	1	1
226	и тот же	1	1
227	на эпизоды и	1	1
228	нашу мысль о	1	1
229	которое мы можем	1	1
230	мира в котором	3	1
231	в своем составе	1	1
232	формах косвенной речи	1	1
233	событии которое мы	1	1
234	в нарративных текстах	1	1
235	все без исключения	1	1
236	стать логикой рассказа	1	1
237	его признаков а	1	1
238	о котором рассказано	1	1
239	это не так	1	1
240	культуре конфигурациям к	1	1
241	только благодаря этому	1	1
242	конфигурирующей операции рассказа	1	1
243	а с другой	2	1
244	имеем дело с	2	1
245	но одновременно понимаем	1	1
246	сами участвуем как	1	1
247	действие может быть	1	1
248	время они неразрывно	1	1
249	нередко встречаются в	1	1
250	креативного и рецептивного	1	1
251	очевидным образом восходит	1	1
252	то что он	1	1
253	а не как	1	1
254	быть сведена к	1	1
255	в нем не	1	1
256	событие самого рассказывания	2	1
257	участвуем как слушатели-читатели	1	1
258	два события писал	1	1
259	места времени и	1	1
260	рассказано в произведении	1	1
261	имел место хотя	1	1
262	по слову бахтина	1	1
263	признаков а в	1	1
264	как мы увидим	1	1
265	в результате ли	1	1
266	во втором эпизоде	1	1
267	непосредственной формой человеческого	1	1
268	котором рассказано в	1	1
269	перед нами два	1	1
270	в произведении и	1	1
271	мере в какой	2	1
272	всю разность составляющих	1	1
273	объединены в едином	1	1
274	эти происходят в	1	1
275	утрата поиск обретение	1	1
276	не в рассказе	1	1
277	в совокупном круге	1	1
278	способности прослеживать историю	1	1
279	все то что	1	1
280	высказывания как целого	1	1
281	было и не	1	1
282	один и тот	1	1
283	может быть сведена	1	1
284	нашей способности прослеживать	1	1
285	быть не только	1	1
286	история по мысли	1	1
287	своего рода ключ	1	1
288	значительный вклад в	1	1
289	х гг в	1	1
290	едином но сложном	1	1
291	повествуемого мира в	1	1
292	как слушатели-читатели события	1	1
293	закрепленным в культуре	1	1
294	они неразрывно объединены	1	1
295	двойной структуре конфигурирующей	1	1
296	одного из этих	1	1
297	события свидетель и	2	1
298	в новейшее время	1	1
299	в том чтобы	2	1
300	геннепа и в	1	1
301	целостности и нераздельности	1	1
302	опыт присутствия в	1	1
303	двух или нескольких	2	1
304	знакомством с повествовательной	1	1
305	само по себе	1	1
306	напряжении событийного ряда	1	1
307	намеченной цели вследствие	1	1
308	прежде всего к	1	1
309	прослеживать историю приобретенной	1	1
310	легкой руки женетта	1	1
311	донарративных структур реального	1	1
312	то что могло	1	1
313	цели вследствие чего	1	1
314	что просто происходит	1	1
315	может быть рассказано	1	1
316	самого нарратора в	1	1
317	хотя не должен	1	1
318	и не могло	1	1
319	мысль о том	1	1
320	эпизода достаточно одного	1	1
321	из непрерывной цепи	1	1
322	во всех его	1	1
323	совокупном круге которого	1	1
324	и прежде всего	1	1
325	в этой системе	1	1
326	тогда как наррация	1	1
327	и сами участвуем	1	1
328	и такого рода	1	1
329	результате ли его	1	1
330	одного и того	1	1
331	друг от друга	1	1
332	произведение в его	1	1
333	собственно говоря и	1	1
334	бахтин событие о	1	1
335	в напряжении событийного	1	1
336	открывается во всей	1	1
337	выходит новое и	1	1
338	цельный внутри себя	1	1
339	рода ключ к	1	1
340	и по длительности	2	1
341	круге которого движется	1	1
342	в области художественной	1	1
343	как уже говорилось	1	1
344	можем обозначить как	1	1
345	циклическая сюжетная схема	1	1
346	в данном контексте	1	1
347	свидетеля и судии	3	1
348	ее целостности и	1	1
349	одновременно понимаем и	1	1
350	жизнью и смертью	1	1
351	в нарративном дискурсе	1	1
352	понимаем и всю	1	1
353	уже говорилось выше	1	1
354	неотделимость события от	1	1
355	оно и не	1	1
356	выделенность некоторой конфигурации	1	1
357	рассказе о ней	1	1
358	самого рассказывания в	1	1
359	в соответствии с	6	1
360	и всю разность	1	1
361	неразрывно объединены в	1	1
362	знания убеждения мнения	2	1
363	сложном событии которое	1	1
364	той мере в	2	1
365	как и в	2	1
366	здесь как и	1	1
367	в коммуникативном событии	1	1
368	чего открывается во	1	1
369	в культуре конфигурациям	1	1
370	мы воспринимаем эту	1	1
371	новое и главное	1	1
372	необходимо должна обратиться	1	1
373	обратим внимание на	1	1
374	пока еще не	3	1
375	с легкой руки	2	1
376	как мы видели	2	1
377	нарративного текста в	1	1
378	по мысли бахтина	1	1
379	связи с кристаллизацией	1	1
