N	2gram	Berdyaev_N_1	Psycholo
1	то что	4	44
2	и в	16	33
3	в этом	7	28
4	и что	2	25
5	все время	2	24
6	потому что	4	24
7	для того	1	23
8	том что	2	22
9	того чтобы	2	22
10	может быть	7	22
11	что в	9	21
12	в том	8	21
13	о том	4	20
14	что он	1	20
15	и мы	4	15
16	как это	2	14
17	так же	2	13
18	и не	11	13
19	все это	5	13
20	сказать что	3	13
21	в самом	1	12
22	было бы	1	12
23	к тому	3	12
24	и все	4	12
25	так как	1	12
26	он не	8	11
27	что все	2	11
28	говорит что	1	10
29	что она	2	10
30	в его	1	10
31	не может	16	10
32	в этой	1	9
33	по себе	1	9
34	в конце	1	8
35	как будто	2	8
36	для этого	2	8
37	вместе с	2	8
38	в каком	1	8
39	в своем	1	7
40	не только	5	7
41	в нем	5	7
42	и только	1	7
43	в сущности	1	6
44	в ней	5	6
45	все эти	2	6
46	в себе	2	6
47	во время	1	6
48	но он	1	6
49	когда мы	2	6
50	это не	4	6
51	у него	2	6
52	а не	17	6
53	что мы	1	6
54	мы должны	1	6
55	шекспира и	1	6
56	как на	1	6
57	это и	2	5
58	мы уже	1	5
59	мы не	2	5
60	и на	2	5
61	с этим	2	5
62	как и	7	5
63	никогда не	6	5
64	и его	1	5
65	и это	2	5
66	с ним	1	5
67	и есть	10	4
68	в которой	1	4
69	я не	2	4
70	том чтобы	2	4
71	не будет	7	4
72	это было	3	4
73	с тем	3	4
74	для чего	2	4
75	в своей	3	4
76	одна из	2	4
77	а в	2	4
78	у нас	1	4
79	можно было	2	4
80	только в	1	4
81	себя в	2	4
82	в жизни	5	4
83	из них	1	4
84	что не	1	4
85	жизни и	8	4
86	же как	2	3
87	и до	1	3
88	и этот	1	3
89	говорить о	1	3
90	как я	1	3
91	то это	1	3
92	что его	1	3
93	но не	2	3
94	как в	3	3
95	от этого	1	3
96	в основу	1	3
97	ни в	6	3
98	должно быть	4	3
99	но если	1	3
100	и сейчас	1	3
101	мы в	1	3
102	их в	1	3
103	что этот	1	3
104	она не	3	3
105	в то	2	3
106	в основе	3	3
107	ли это	2	3
108	и для	4	3
109	нет ни	1	3
110	во все	1	3
