N	3gram	Propp_Russ_2	Mirosoze
1	не может быть	3	8
2	для того чтобы	6	4
3	что иное как	2	3
4	же как и	2	3
5	так же как	4	3
6	и в этом	1	3
7	это и есть	1	3
8	не что иное	2	3
9	подобно тому как	3	2
10	потому что он	1	2
11	может быть назван	1	2
12	но это не	1	2
13	может быть и	1	2
14	т е в	5	2
15	о том что	4	2
16	как и в	1	2
17	после того как	2	2
18	в том что	18	2
19	том что в	1	1
20	для него не	1	1
21	а между тем	1	1
22	прежде всего как	1	1
23	потому что в	1	1
24	всем народам европы	1	1
25	только тогда когда	3	1
26	и во многих	1	1
27	во многих других	1	1
28	в своей книге	2	1
29	а за ней	1	1
30	но и в	1	1
31	между тем как	1	1
32	а может быть	1	1
33	в этом отношении	1	1
34	тому как в	2	1
35	у нас нет	1	1
36	на то что	1	1
37	смысле этого слова	1	1
38	но так как	1	1
39	том что это	3	1
40	на земле что	1	1
41	жизни в этом	1	1
42	это приводит нас	1	1
43	в землю и	1	1
44	приводит нас к	2	1
45	в последний раз	1	1
