N	3gram	Tiupa_Anal_1	Stilisti
1	в то же	8	9
2	то же время	6	7
3	для того чтобы	3	7
4	в зависимости от	1	7
5	того или иного	3	5
6	с точки зрения	4	5
7	то же самое	2	4
8	и то же	1	4
9	той или иной	6	4
10	то что мы	1	4
11	прежде всего в	1	4
12	в свою очередь	1	4
13	одно и то	1	4
14	и тем самым	1	3
15	в той же	1	3
16	во внутренней речи	1	3
17	бы мы ни	1	3
18	не только в	1	3
19	то или иное	1	3
20	но и в	2	3
21	во всех своих	1	3
22	о том что	3	2
23	одной и той	1	2
24	или хотя бы	1	2
25	но в то	2	2
26	что иное как	5	2
27	тех или иных	2	2
28	равно как и	1	2
29	одни и те	1	2
30	смысле этого слова	1	2
31	к тому что	1	2
32	и как бы	1	2
33	на первый взгляд	1	2
34	и те же	1	2
35	и той же	1	2
36	не что иное	4	2
37	и вследствие этого	1	2
38	в связи с	1	2
39	вместе с тем	1	2
40	есть не что	3	2
41	в этом отношении	2	2
42	не так как	1	2
43	как мы увидим	1	2
44	же самое время	2	2
45	не может быть	16	2
46	не говоря уже	1	1
47	и все же	2	1
48	на наш взгляд	6	1
49	только тогда когда	1	1
50	это отнюдь не	1	1
51	при этом мы	1	1
52	всех своих частях	1	1
53	вновь и вновь	1	1
54	если не будет	1	1
55	нет ничего что	1	1
56	не должен быть	2	1
57	той же мере	1	1
58	в нашем случае	3	1
59	и при этом	1	1
60	с другой стороны	2	1
61	сознания как и	1	1
62	должны помнить что	1	1
63	в литературном произведении	1	1
64	как раз и	1	1
65	и того же	2	1
66	в том что	9	1
67	сколько бы мы	1	1
68	и та же	1	1
69	и не может	4	1
70	мысль о том	1	1
71	по отношению к	5	1
72	и не могут	1	1
73	более или менее	1	1
74	бытие человека и	1	1
75	одного и того	2	1
76	мы имеем в	1	1
77	в конечном счете	4	1
78	на вопрос о	1	1
79	одна и та	1	1
80	между тем в	1	1
81	и т.п если	1	1
82	и т.д в	1	1
83	нет и не	2	1
84	только в том	1	1
85	и к тому	2	1
86	в самом деле	2	1
87	тому или иному	1	1
88	в собственном смысле	1	1
89	собственном смысле слова	1	1
90	не остается ничего	2	1
91	как и от	1	1
92	но то что	1	1
93	все еще не	1	1
94	как и в	1	1
95	этом мы будем	1	1
96	он в то	1	1
97	мы должны помнить	1	1
98	до сих пор	1	1
99	отнюдь не только	1	1
100	еще раз что	1	1
101	по крайней мере	1	1
