N	4gram	Bakhtin_Pr_1	TeoriaLi
1	в то же время	3	6
2	мы имеем дело с	1	1
3	содержание эстетической деятельности созерцания	1	1
4	эстетической деятельности созерцания направленной	1	1
5	чего бы то ни	1	1
6	по отношению к нему	1	1
7	бы то ни было	2	1
8	созерцания направленной на произведение	1	1
9	но в то же	1	1
10	осуществляет себя только в	1	1
11	дело в том что	1	1
12	деятельности созерцания направленной на	1	1
13	в коем случае не	2	1
14	и в то же	2	1
15	конститутивный момент художественной формы	2	1
16	вполне осуществляет себя только	1	1
17	себя только в искусстве	1	1
18	бы они ни были	1	1
19	эстетическое вполне осуществляет себя	1	1
20	ни к чему не	1	1
21	ни в коем случае	2	1
