N	3gram	Propp_Russ_2	VeschiIm
1	и т д	5	20
2	не может быть	3	18
3	что иное как	2	8
4	не что иное	2	8
5	т е в	5	7
6	может быть только	2	6
7	в том что	18	6
8	на то что	1	6
9	в свою очередь	1	5
10	тем не менее	2	5
11	т е не	1	4
12	более или менее	1	3
13	подобно тому как	3	3
14	из того что	1	3
15	можно было бы	1	3
16	вместе с тем	4	3
17	не может не	1	2
18	можно сказать что	1	2
19	дело в том	1	2
20	быть не только	1	2
21	о том как	1	2
22	а так как	1	2
23	в данном случае	6	2
24	и таким образом	1	2
25	нужно было бы	1	2
26	так что в	1	2
27	далеко не все	1	1
28	е в данном	1	1
29	того или другого	1	1
30	в этом случае	6	1
31	том что это	3	1
32	и оно же	1	1
33	того чтобы обеспечить	1	1
34	так чтобы они	1	1
35	может быть и	1	1
36	у нас это	1	1
37	потому что он	1	1
38	в применении к	1	1
39	то время как	1	1
40	так же как	4	1
41	один из основных	1	1
42	в том чтобы	2	1
43	остановиться несколько подробнее	1	1
44	быть потому что	1	1
45	с одной стороны	2	1
46	решить вопрос о	2	1
47	смысле этого слова	1	1
48	и в этом	1	1
49	т е на	1	1
50	той и другой	1	1
51	с другой стороны	1	1
52	тому как в	2	1
53	во всяком случае	1	1
54	мы не можем	2	1
55	в то время	2	1
56	это и есть	1	1
57	на этом основании	1	1
58	о том что	4	1
59	вопрос о том	1	1
60	это выражение в	1	1
61	для того чтобы	6	1
62	оно все же	1	1
63	только тогда когда	3	1
