N	2gram	Medvedev_I_1	EvropaiE
1	и в	1	37
2	что в	2	21
3	и не	2	14
4	в этом	2	12
5	так и	1	10
6	а также	1	7
7	того что	1	7
8	с другой	1	7
9	того чтобы	1	6
10	для того	1	6
11	от этого	1	5
12	и со	1	3
13	того же	1	3
14	не дает	1	3
15	в них	1	3
16	никогда не	1	3
17	очевидно что	1	3
18	тем что	1	3
19	более чем	1	2
20	он не	2	2
21	и еще	1	2
22	и с	3	2
23	и творчества	1	2
24	в эту	1	2
25	во многом	1	2
26	если бы	1	2
27	и та	1	2
28	в значительной	1	2
29	с а	1	2
30	бы в	1	2
31	а в	1	2
32	другой стороны	1	2
33	жизни и	1	2
34	кто иной	1	1
35	тех же	1	1
36	говорить о	1	1
37	а для	1	1
38	по отношению	1	1
39	и тот	1	1
40	от нее	1	1
41	что при	1	1
42	все эти	1	1
43	вплоть до	1	1
44	доказать что	1	1
45	так то	1	1
46	в основе	1	1
47	и о	1	1
48	то она	1	1
49	значительной мере	1	1
50	и сам	1	1
51	когда его	1	1
52	не кто	1	1
53	при такой	1	1
54	в брошюре	1	1
55	иной как	1	1
56	то и	1	1
57	для него	1	1
58	что для	1	1
59	а если	1	1
60	есть только	1	1
61	та и	1	1
62	но когда	1	1
63	бы столь	1	1
64	цель и	1	1
