N	2gram	Medvedev_I_1	Sovremen
1	в этом	2	7
2	и в	1	7
3	ничего не	2	6
4	и не	2	6
5	все эти	1	5
6	в целом	1	4
7	же это	1	4
8	а в	1	4
9	жизни и	1	4
10	у всех	1	3
11	все это	1	3
12	следующим образом	1	3
13	говорить о	1	2
14	со всеми	1	2
15	то и	1	2
16	о жизни	1	2
17	на котором	1	2
18	не дает	1	2
19	что при	1	2
20	что в	2	2
21	должен быть	2	1
22	с жизнью	1	1
23	то она	1	1
24	отношению к	1	1
25	во многом	1	1
26	если бы	1	1
27	того же	1	1
28	и та	1	1
29	утверждает что	1	1
30	по отношению	1	1
31	и тот	1	1
32	он не	2	1
33	и еще	1	1
34	по существу	1	1
35	не случайно	1	1
36	бы все	1	1
37	с другой	1	1
38	цель и	1	1
39	и ничего	1	1
40	в эту	1	1
41	он с	1	1
42	никогда не	1	1
43	другое дело	1	1
